annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,pagine_comprese_copertine,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
94/95,Livorno,Livorno 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,38,,aprile 1994,,LI94.jpg,True,accertata
94/95,Pisa,Pisa 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,,Ricercato1.jpg,False,accertata
94/95,Lucca - Massa - Carrara,Lucca - Massa - Carrara 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,,Ricercato1.jpg,False,accertata
94/95,Pistoia,Pistoia 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,,maggio 1994,,PT94.jpg,True,accertata
95/96,Firenze e dintorni,Firenze e dintorni 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,78,,marzo 1995,,FI95.jpg,True,accertata
95/96,Prato - Provincia di Firenze,Prato - Provincia di Firenze 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,54,,marzo 1995,,PROVFI95.jpg,True,accertata
95/96,Arezzo - Siena,Arezzo - Siena 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,46,,maggio 1995,,ARSI95.jpg,True,accertata
95/96,Grosseto,Grosseto 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,,maggio 1995,,GR95.jpg,True,accertata
95/96,Livorno,Livorno 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,38,,aprile 1995,,LI95.jpg,True,accertata
95/96,Pisa,Pisa 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,,aprile 1995,,PI95.jpg,True,accertata
95/96,Lucca - Massa - Carrara,Lucca - Massa - Carrara 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,54,,maggio 1995,,LUMS95.jpg,True,accertata
95/96,Pistoia,Pistoia 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,,maggio 1995,,PT95.jpg,True,accertata
96/97,Firenze e dintorni,Firenze e dintorni 96,96,Copertina 96 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,70,,marzo 1996,,FI96.jpg,True,accertata
96/97,Prato - Provincia di Firenze,Prato - Provincia di Firenze 96,96,Copertina 96 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,54,,marzo 1996,,PROVFI96.jpg,True,accertata
