annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
92/93,Ancona,Ancona 92,92,Copertina 92 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,32,giugno 1992,,AN92.jpg,True,accertata
92/93,Pesaro - Urbino,Pesaro - Urbino 92,92,Copertina 92 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,32,giugno 1992,,PS92.jpg,True,accertata
92/93,Ascoli Piceno,Ascoli Piceno 92,92,Copertina 92 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,24,giugno 1992,,AP92.jpg,True,accertata
92/93,Macerata,Macerata 92,92,Copertina 92 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,24,giugno 1992,,MC92.jpg,True,accertata
93/94,Ancona,Ancona 93,93,Copertina 93 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,46,giugno 1993,,AN93.jpg,True,accertata
93/94,Pesaro - Urbino,Pesaro - Urbino 93,93,Copertina 93 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,giugno 1993,,PS93.jpg,True,accertata
93/94,Ascoli Piceno,Ascoli Piceno 93,93,Copertina 93 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,giugno 1993,,AP93.jpg,True,accertata
93/94,Macerata,Macerata 93,93,Copertina 93 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,giugno 1993,,MC93.jpg,True,accertata
94/95,Ancona,Ancona 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False,accertata
94/95,Pesaro - Urbino,Pesaro - Urbino 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False,accertata
94/95,Ascoli Piceno,Ascoli Piceno 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False,accertata
94/95,Macerata,Macerata 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,maggio 1994,,MC94.jpg,True,accertata
95/96,Ancona,Ancona 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,38,maggio 1995,,AN95.jpg,True,accertata
95/96,Pesaro - Urbino,Pesaro - Urbino 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,maggio 1995,,PS95.jpg,True,accertata
95/96,Ascoli Piceno,Ascoli Piceno 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,maggio 1995,,AP95.jpg,True,accertata
95/96,Macerata,Macerata 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,maggio 1995,,MC95.jpg,True,accertata
96/97,Ancona,Ancona 96,96,Copertina 96 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,70,,Cambio formato,Ricercato1.jpg,False,accertata
96/97,Pesaro - Urbino,Pesaro - Urbino 96,96,Copertina 96 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,,,Cambio formato,Ricercato1.jpg,False,accertata
96/97,Ascoli Piceno,Ascoli Piceno 96,96,Copertina 96 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,,,Cambio formato,Ricercato1.jpg,False,accertata
96/97,Macerata,Macerata 96,96,Copertina 96 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,14,giugno 1996,Cambio formato,MC96.jpg,True,accertata
97/98,Ancona,Ancona 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,70,novembre 1996,Cambio formato,Ricercato1.jpg,False,accertata
97/98,Pesaro - Urbino,Pesaro - Urbino 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,,,Cambio formato,Ricercato1.jpg,False,accertata
97/98,Ascoli Piceno,Ascoli Piceno 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,,,Cambio formato,Ricercato1.jpg,False,accertata
97/98,Macerata,Macerata 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,,,Cambio formato,Ricercato1.jpg,False,accertata
98/99,Ancona,Ancona (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,,,,Ricercato1.jpg,False,accertata
99/00,Ancona,Ancona 1999/2000,99/00,,226 x 274 mm,sottile,TuttoCittà nuovo millennio,30,,,Ricercato1.jpg,False,accertata
00/01,Ancona,Ancona 2000/2001,00/01,Copertina 2000/2001 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio bis,30,giugno 2000,,AN0001.jpg,True,accertata
01/02,Ancona,Ancona 2001/2002,01/02,Copertina 2001/2002 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,,,,Ricercato1.jpg,False,accertata
02/03,Ancona,Ancona ?,,,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,,,,Ricercato1.jpg,False,accertata
03/04,Ancona,Ancona ?,,,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,,,,Ricercato1.jpg,False,accertata
04/05,Ancona,Ancona 2004,04,Copertina 2004 arancione,226 x 274 mm,sottile,TuttoCittà metà duemila,30,luglio 2004,,AN04.jpg,True,accertata
05/06,Ancona,Ancona 2005,05,Copertina 2005 arancione,226 x 274 mm,sottile,TuttoCittà metà duemila,,,,Ricercato1.jpg,False,accertata
06/07,Ancona,Ancona 2006,06,Copertina 2006 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,56,,,Ricercato1.jpg,False,accertata
07/08,Ancona,Ancona 2007,07,Copertina 2007 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,32,agosto 2007,,AN07.jpg,True,accertata
08/09,Ancona,Ancona 2008/2009,08/09,Copertina 2008/2009 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,24,luglio 2008,,AN0809.jpg,True,accertata
09/10,Ancona,Ancona 2009/2010,09/10,Copertina 2009/2010 arancione/bianca formato ridotto,226 x 274 mm,grossa,TuttoCittà anni dieci,32,agosto 2009,Riforma cartografica; nuovo formato,AN0910.jpg,True,accertata
10/11,Ancona,Ancona 2010/2011,10/11,Copertina 2010/2011 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,Ricercato2.jpg,False,accertata
11/12,Ancona,Ancona 2011/2012,11/12,Copertina 2011/2012 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,32,agosto 2011,,AN1112.jpg,True,accertata
12/13,Ancona,Ancona 2012/2013,12/13,Copertina 2012/2013 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,Ricercato2.jpg,False,accertata
13/14,Ancona,Ancona 2013/2014,13/14,Copertina 2013/2014 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,Ricercato2.jpg,False,accertata
14/15,Ancona,Ancona 2014/2015,14/15,Copertina 2014/2015 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,Ricercato2.jpg,False,accertata
