annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
94/95,Reggio Calabria,Reggio Calabria 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False,accertata
95/96,Catanzaro - Crotone - Vibo Valentia,Catanzaro - Crotone - Vibo Valentia 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False,accertata
95/96,Cosenza,Cosenza 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False,accertata
95/96,Reggio Calabria,Reggio Calabria 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False,accertata
96/97,Catanzaro - Crotone - Vibo Valentia,Catanzaro - Crotone - Vibo Valentia 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,,,Cambio formato,Ricercato1.jpg,False,accertata
96/97,Cosenza,Cosenza 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,,,Cambio formato,Ricercato1.jpg,False,accertata
96/97,Reggio Calabria,Reggio Calabria 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,,,Cambio formato,Ricercato1.jpg,False,accertata
97/98,Catanzaro - Crotone - Vibo Valentia,Catanzaro - Crotone - Vibo Valentia (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,38,gennaio 1998,"""febbraio 1998 - gennaio 1999""",CZ97b.jpg,True,accertata
97/98,Cosenza,Cosenza (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,22,gennaio 1998,"""febbraio 1998 - gennaio 1999""",CS97b.jpg,True,accertata
97/98,Reggio Calabria,Reggio Calabria (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,,,,Ricercato1.jpg,False,accertata
98/99,Catanzaro - Crotone - Vibo Valentia,Catanzaro - Crotone - Vibo Valentia (99),99,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,38,gennaio 1999,"""da utilizzare fino a Marzo 2000""",CZ98.jpg,True,accertata
98/99,Cosenza,Cosenza (99),99,,,,,,,,Dubbio1.jpg,False,dubbia
98/99,Reggio Calabria,Reggio Calabria (99),99,,,,,,,,Dubbio1.jpg,False,dubbia
