annata,fascicolo,provincia,citta,indicizzata
90/91,Savona,Savona,Savona,sì
90/91,Savona,Savona,Alassio,sì
90/91,Savona,Savona,Albenga,sì
90/91,Savona,Savona,Albisola,sì
90/91,Savona,Savona,Cairo Montenotte,sì
90/91,Savona,Savona,Finale Ligure,sì
90/91,Savona,Savona,Lavagnola,sì
90/91,Savona,Savona,Loano,sì
90/91,Savona,Savona,Pietra Ligure,sì
90/91,Savona,Savona,Vado Ligure,sì
90/91,Savona,Savona,Varazze,sì
91/92,Genova,Genova,Genova,sì
91/92,Genova,Genova,Arenzano,sì
91/92,Genova,Genova,Chiavari,sì
91/92,Genova,Genova,Cogoleto,sì
91/92,Genova,Genova,Rapallo,sì
91/92,Genova,Genova,Recco,sì
91/92,Genova,Genova,Santa Margherita Ligure,sì
91/92,Imperia,Imperia,Imperia,sì
91/92,Imperia,Imperia,Bordighera,sì
91/92,Imperia,Imperia,Diano Marina,sì
91/92,Imperia,Imperia,San Bartolomeo al Mare,sì
91/92,Imperia,Imperia,Sanremo,sì
91/92,Imperia,Imperia,Taggia,sì
91/92,Imperia,Imperia,Ventimiglia,sì
91/92,La Spezia,La Spezia,La Spezia,sì
91/92,La Spezia,La Spezia,Lerici,sì
91/92,La Spezia,La Spezia,Sarzana,sì
91/92,Savona,Savona,Savona,sì
91/92,Savona,Savona,Alassio,sì
91/92,Savona,Savona,Albenga,sì
91/92,Savona,Savona,Albisola,sì
91/92,Savona,Savona,Cairo Montenotte,sì
91/92,Savona,Savona,Finale Ligure,sì
91/92,Savona,Savona,Loano,sì
91/92,Savona,Savona,Pietra Ligure,sì
91/92,Savona,Savona,Vado Ligure,sì
91/92,Savona,Savona,Varazze,sì
92/93,Genova,Genova,Genova,sì
92/93,Genova,Genova,Arenzano,sì
92/93,Genova,Genova,Chiavari,sì
92/93,Genova,Genova,Cogoleto,sì
92/93,Genova,Genova,Rapallo,sì
92/93,Genova,Genova,Recco,sì
92/93,Genova,Genova,Santa Margherita Ligure,sì
92/93,Imperia,Imperia,Imperia,sì
92/93,Imperia,Imperia,Bordighera,sì
92/93,Imperia,Imperia,Diano Marina,sì
92/93,Imperia,Imperia,Ospedaletti,sì
92/93,Imperia,Imperia,San Bartolomeo al Mare,sì
92/93,Imperia,Imperia,Sanremo,sì
92/93,Imperia,Imperia,Taggia,sì
92/93,Imperia,Imperia,Ventimiglia,sì
92/93,La Spezia,La Spezia,La Spezia,sì
92/93,La Spezia,La Spezia,Lerici,sì
92/93,La Spezia,La Spezia,Sarzana,sì
92/93,Savona,Savona,Savona,sì
92/93,Savona,Savona,Alassio,sì
92/93,Savona,Savona,Albenga,sì
92/93,Savona,Savona,Albisola,sì
92/93,Savona,Savona,Cairo Montenotte,sì
92/93,Savona,Savona,Finale Ligure,sì
92/93,Savona,Savona,Loano,sì
92/93,Savona,Savona,Pietra Ligure,sì
92/93,Savona,Savona,Vado Ligure,sì
92/93,Savona,Savona,Varazze,sì
93/94,Genova,Genova,Genova,sì
93/94,Genova,Genova,Arenzano,sì
93/94,Genova,Genova,Chiavari,sì
93/94,Genova,Genova,Cogoleto,sì
93/94,Genova,Genova,Rapallo,sì
93/94,Genova,Genova,Recco,sì
93/94,Genova,Genova,Santa Margherita Ligure,sì
93/94,Imperia,Imperia,Imperia,sì
93/94,Imperia,Imperia,Arma di Taggia,sì
93/94,Imperia,Imperia,Bordighera,sì
93/94,Imperia,Imperia,Diano Marina,sì
93/94,Imperia,Imperia,Ospedaletti,sì
93/94,Imperia,Imperia,San Bartolomeo al Mare,sì
93/94,Imperia,Imperia,Sanremo,sì
93/94,Imperia,Imperia,Taggia,sì
93/94,Imperia,Imperia,Ventimiglia,sì
93/94,La Spezia,La Spezia,La Spezia,sì
93/94,La Spezia,La Spezia,Lerici,sì
93/94,La Spezia,La Spezia,Sarzana,sì
93/94,Savona,Savona,Savona,sì
93/94,Savona,Savona,Alassio,sì
93/94,Savona,Savona,Albenga,sì
93/94,Savona,Savona,Albisola,sì
93/94,Savona,Savona,Cairo Montenotte,sì
93/94,Savona,Savona,Finale Ligure,sì
93/94,Savona,Savona,Loano,sì
93/94,Savona,Savona,Pietra Ligure,sì
93/94,Savona,Savona,Vado Ligure,sì
93/94,Savona,Savona,Varazze,sì
94/95,Genova,Genova,Genova,sì
94/95,Genova,Genova,Arenzano,sì
94/95,Genova,Genova,Chiavari,sì
94/95,Genova,Genova,Cogoleto,sì
94/95,Genova,Genova,Rapallo,sì
94/95,Genova,Genova,Recco,sì
94/95,Genova,Genova,Santa Margherita Ligure,sì
94/95,Savona,Savona,Savona,sì
94/95,Savona,Savona,Lavagnola,sì
94/95,Savona,Savona,Alassio,sì
94/95,Savona,Savona,Albenga,sì
94/95,Savona,Savona,Albisola,sì
94/95,Savona,Savona,Cairo Montenotte,sì
94/95,Savona,Savona,Finale Ligure,sì
94/95,Savona,Savona,Loano,sì
94/95,Savona,Savona,Pietra Ligure,sì
94/95,Savona,Savona,Vado Ligure,sì
94/95,Savona,Savona,Varazze,sì
95/96,Genova,Genova,Genova,sì
95/96,Genova,Genova,Arenzano,sì
95/96,Genova,Genova,Chiavari,sì
95/96,Genova,Genova,Cogoleto,sì
95/96,Genova,Genova,Rapallo,sì
95/96,Genova,Genova,Recco,sì
95/96,Genova,Genova,Santa Margherita Ligure,sì
95/96,Imperia,Imperia,Imperia,sì
95/96,Imperia,Imperia,Arma di Taggia,sì
95/96,Imperia,Imperia,Bordighera,sì
95/96,Imperia,Imperia,Diano Marina,sì
95/96,Imperia,Imperia,Ospedaletti,sì
95/96,Imperia,Imperia,San Bartolomeo al Mare,sì
95/96,Imperia,Imperia,Sanremo,sì
95/96,Imperia,Imperia,Taggia,sì
95/96,Imperia,Imperia,Ventimiglia,sì
95/96,La Spezia,La Spezia,La Spezia,sì
95/96,La Spezia,La Spezia,Lerici,sì
95/96,La Spezia,La Spezia,Sarzana,sì
95/96,Savona,Savona,Savona,sì
95/96,Savona,Savona,Lavagnola,sì
95/96,Savona,Savona,Alassio,sì
95/96,Savona,Savona,Albenga,sì
95/96,Savona,Savona,Albisola,sì
95/96,Savona,Savona,Cairo Montenotte,sì
95/96,Savona,Savona,Finale Ligure,sì
95/96,Savona,Savona,Loano,sì
95/96,Savona,Savona,Pietra Ligure,sì
95/96,Savona,Savona,Vado Ligure,sì
95/96,Savona,Savona,Varazze,sì
96/97,Genova,Genova,Genova,sì
96/97,Genova,Genova,Arenzano,sì
96/97,Genova,Genova,Busalla,sì
96/97,Genova,Genova,Chiavari,sì
96/97,Genova,Genova,Cogoleto,sì
96/97,Genova,Genova,Rapallo,sì
96/97,Genova,Genova,Recco,sì
96/97,Genova,Genova,Santa Margherita Ligure,sì
96/97,Imperia,Imperia,Imperia,sì
96/97,Imperia,Imperia,Arma di Taggia,sì
96/97,Imperia,Imperia,Bordighera,sì
96/97,Imperia,Imperia,Diano Marina,sì
96/97,Imperia,Imperia,Ospedaletti,sì
96/97,Imperia,Imperia,San Bartolomeo al Mare,sì
96/97,Imperia,Imperia,Sanremo,sì
96/97,Imperia,Imperia,Taggia,sì
96/97,Imperia,Imperia,Ventimiglia,sì
96/97,Savona,Savona,Savona,sì
96/97,Savona,Savona,Lavagnola,sì
96/97,Savona,Savona,Alassio,sì
96/97,Savona,Savona,Albenga,sì
96/97,Savona,Savona,Albisola,sì
96/97,Savona,Savona,Cairo Montenotte,sì
96/97,Savona,Savona,Finale Ligure,sì
96/97,Savona,Savona,Loano,sì
96/97,Savona,Savona,Pietra Ligure,sì
96/97,Savona,Savona,Vado Ligure,sì
96/97,Savona,Savona,Varazze,sì
97/98,Genova,Genova,Genova,sì
97/98,Genova,Genova,Arenzano,sì
97/98,Genova,Genova,Busalla,sì
97/98,Genova,Genova,Chiavari,sì
97/98,Genova,Genova,Cogoleto,sì
97/98,Genova,Genova,Rapallo,sì
97/98,Genova,Genova,Recco,sì
97/98,Genova,Genova,Santa Margherita Ligure,sì
97/98,Imperia,Imperia,Imperia,sì
97/98,Imperia,Imperia,Arma di Taggia,sì
97/98,Imperia,Imperia,Bordighera,sì
97/98,Imperia,Imperia,Diano Marina,sì
97/98,Imperia,Imperia,Ospedaletti,sì
97/98,Imperia,Imperia,San Bartolomeo al Mare,sì
97/98,Imperia,Imperia,Sanremo,sì
97/98,Imperia,Imperia,Taggia,sì
97/98,Imperia,Imperia,Ventimiglia,sì
97/98,Savona,Savona,Savona,sì
97/98,Savona,Savona,Lavagnola,sì
97/98,Savona,Savona,Alassio,sì
97/98,Savona,Savona,Albenga,sì
97/98,Savona,Savona,Albisola,sì
97/98,Savona,Savona,Cairo Montenotte,sì
97/98,Savona,Savona,Finale Ligure,sì
97/98,Savona,Savona,Loano,sì
97/98,Savona,Savona,Pietra Ligure,sì
97/98,Savona,Savona,Vado Ligure,sì
97/98,Savona,Savona,Varazze,sì
98/99,Genova,Genova,Genova,sì
98/99,Genova,Genova,Arenzano,sì
98/99,Genova,Genova,Busalla,sì
98/99,Genova,Genova,Chiavari,sì
98/99,Genova,Genova,Cogoleto,sì
98/99,Genova,Genova,Rapallo,sì
98/99,Genova,Genova,Recco,sì
98/99,Genova,Genova,Santa Margherita Ligure,sì
98/99,Genova,Genova,Sestri Levante,sì
98/99,La Spezia,La Spezia,La Spezia,sì
98/99,La Spezia,La Spezia,Lerici,sì
98/99,La Spezia,La Spezia,Sarzana,sì
00/01,Genova,Genova,Genova,sì
00/01,Genova,Genova,Arenzano,sì
00/01,Genova,Genova,Busalla,sì
00/01,Genova,Genova,Chiavari,sì
00/01,Genova,Genova,Rapallo,sì
00/01,Genova,Genova,Recco,sì
00/01,Genova,Genova,Santa Margherita Ligure,sì
00/01,Genova,Genova,Sestri Levante,sì
02/03,Genova,Genova,Genova,sì
02/03,Genova,Genova,Arenzano,sì
02/03,Genova,Genova,Busalla,sì
02/03,Genova,Genova,Chiavari,sì
02/03,Genova,Genova,Rapallo,sì
02/03,Genova,Genova,Recco,sì
02/03,Genova,Genova,Santa Margherita Ligure,sì
02/03,Genova,Genova,Sestri Levante,sì
05/06,Genova,Genova,Genova,sì
05/06,Genova,Genova,Arenzano,sì
05/06,Genova,Genova,Busalla,sì
05/06,Genova,Genova,Chiavari,sì
05/06,Genova,Genova,Rapallo,sì
05/06,Genova,Genova,Recco,sì
05/06,Genova,Genova,Santa Margherita Ligure,sì
05/06,Genova,Genova,Sestri Levante,sì
07/08,Genova,Genova,Genova,sì
07/08,Genova,Genova,Arenzano,sì
07/08,Genova,Genova,Busalla,sì
07/08,Genova,Genova,Chiavari,sì
07/08,Genova,Genova,Rapallo,sì
07/08,Genova,Genova,Recco,sì
07/08,Genova,Genova,Santa Margherita Ligure,sì
07/08,Genova,Genova,Sestri Levante,sì
08/09,Genova,Genova,Genova,sì
08/09,Genova,Genova,Arenzano,sì
08/09,Genova,Genova,Busalla,sì
08/09,Genova,Genova,Chiavari,sì
08/09,Genova,Genova,Rapallo,sì
08/09,Genova,Genova,Recco,sì
08/09,Genova,Genova,Santa Margherita Ligure,sì
08/09,Genova,Genova,Sestri Levante,sì
09/10,Genova,Genova,Genova,sì
09/10,Genova,Genova,Arenzano,sì
09/10,Genova,Genova,Busalla,sì
09/10,Genova,Genova,Chiavari,sì
09/10,Genova,Genova,Rapallo,sì
09/10,Genova,Genova,Recco,sì
09/10,Genova,Genova,Santa Margherita Ligure,sì
09/10,Genova,Genova,Sestri Levante,sì
10/11,Genova,Genova,Genova,sì
10/11,Genova,Genova,Arenzano,sì
10/11,Genova,Genova,Chiavari,sì
10/11,Genova,Genova,Rapallo,sì
10/11,Genova,Genova,Recco,sì
10/11,Genova,Genova,Santa Margherita Ligure,sì
10/11,Genova,Genova,Sestri Levante,sì
11/12,Genova,Genova,Genova,sì
11/12,Genova,Genova,Arenzano,sì
11/12,Genova,Genova,Chiavari,sì
11/12,Genova,Genova,Rapallo,sì
11/12,Genova,Genova,Recco,sì
11/12,Genova,Genova,Santa Margherita Ligure,sì
11/12,Genova,Genova,Sestri Levante,sì
12/13,Genova,Genova,Genova,sì
12/13,Genova,Genova,Arenzano,sì
12/13,Genova,Genova,Chiavari,sì
12/13,Genova,Genova,Rapallo,sì
12/13,Genova,Genova,Recco,sì
12/13,Genova,Genova,Santa Margherita Ligure,sì
13/14,Genova,Genova,Genova,sì
13/14,Genova,Genova,Arenzano,sì
13/14,Genova,Genova,Chiavari,sì
13/14,Genova,Genova,Rapallo,sì
13/14,Genova,Genova,Recco,sì
14/15,Genova,Genova,Genova,sì
14/15,Genova,Genova,Arenzano,sì
14/15,Genova,Genova,Chiavari,sì
14/15,Genova,Genova,Rapallo,sì
14/15,Genova,Genova,Recco,sì
