annata,fascicolo,provincia,citta,indicizzata
92/93,Ascoli Piceno,Ascoli Piceno,San Benedetto del Tronto,sì
92/93,Macerata,Macerata,Macerata,sì
92/93,Macerata,Macerata,Civitanova Marche,sì
92/93,Macerata,Macerata,Tolentino,sì
92/93,Pesaro - Urbino,Pesaro,Pesaro,sì
92/93,Pesaro - Urbino,Pesaro,Fano,sì
92/93,Pesaro - Urbino,Pesaro,Sant'Angelo in Lizzola,sì
92/93,Pesaro - Urbino,Pesaro,URBINO,sì
93/94,Ancona,Ancona,Ancona,sì
93/94,Ancona,Ancona,Fabriano,sì
93/94,Ancona,Ancona,Falconara Marittima,sì
93/94,Ancona,Ancona,Jesi,sì
93/94,Ancona,Ancona,Osimo,sì
93/94,Ancona,Ancona,Recanati,sì
93/94,Ancona,Ancona,Senigallia,sì
93/94,Ascoli Piceno,Ascoli Piceno,Ascoli Piceno,sì
93/94,Ascoli Piceno,Ascoli Piceno,Fermo,sì
93/94,Ascoli Piceno,Ascoli Piceno,Porto Sant'Elpidio,sì
93/94,Ascoli Piceno,Ascoli Piceno,Porto San Giorgio,sì
93/94,Ascoli Piceno,Ascoli Piceno,San Benedetto del Tronto,sì
93/94,Macerata,Macerata,Macerata,sì
93/94,Macerata,Macerata,Civitanova Marche,sì
93/94,Macerata,Macerata,Tolentino,sì
93/94,Pesaro - Urbino,Pesaro,Pesaro,sì
93/94,Pesaro - Urbino,Pesaro,Fano,sì
93/94,Pesaro - Urbino,Pesaro,Sant'Angelo in Lizzola,sì
93/94,Pesaro - Urbino,Pesaro,URBINO,sì
94/95,Macerata,Macerata,Macerata,sì
94/95,Macerata,Macerata,Civitanova Marche,sì
94/95,Macerata,Macerata,Tolentino,sì
95/96,Ancona,Ancona,Ancona,sì
95/96,Ancona,Ancona,Fabriano,sì
95/96,Ancona,Ancona,Falconara Marittima,sì
95/96,Ancona,Ancona,Jesi,sì
95/96,Ancona,Ancona,Osimo,sì
95/96,Ancona,Ancona,Recanati,sì
95/96,Ancona,Ancona,Senigallia,sì
95/96,Ascoli Piceno,Ascoli Piceno,Ascoli Piceno,sì
95/96,Ascoli Piceno,Ascoli Piceno,Fermo,sì
95/96,Ascoli Piceno,Ascoli Piceno,Porto Sant'Elpidio,sì
95/96,Ascoli Piceno,Ascoli Piceno,Porto San Giorgio,sì
95/96,Ascoli Piceno,Ascoli Piceno,San Benedetto del Tronto,sì
95/96,Macerata,Macerata,Macerata,sì
95/96,Macerata,Macerata,Civitanova Marche,sì
95/96,Macerata,Macerata,Tolentino,sì
95/96,Pesaro - Urbino,Pesaro,Pesaro,sì
95/96,Pesaro - Urbino,Pesaro,Fano,sì
95/96,Pesaro - Urbino,Pesaro,Sant'Angelo in Lizzola,sì
95/96,Pesaro - Urbino,Pesaro,URBINO,sì
96/97,Macerata,Macerata,Macerata,sì
96/97,Macerata,Macerata,Civitanova Marche,sì
96/97,Macerata,Macerata,Tolentino,sì
00/01,Ancona,Ancona,Ancona,sì
00/01,Ancona,Ancona,Fabriano,sì
00/01,Ancona,Ancona,Falconara Marittima,sì
00/01,Ancona,Ancona,Jesi,sì
00/01,Ancona,Ancona,Osimo,sì
00/01,Ancona,Macerata,Recanati,sì
00/01,Ancona,Ancona,Senigallia,sì
04/05,Ancona,Ancona,Ancona,sì
04/05,Ancona,Ancona,Fabriano,sì
04/05,Ancona,Ancona,Falconara Marittima,sì
04/05,Ancona,Ancona,Jesi,sì
04/05,Ancona,Ancona,Osimo,sì
04/05,Ancona,Macerata,Recanati,sì
04/05,Ancona,Ancona,Senigallia,sì
07/08,Ancona,Ancona,Ancona,sì
07/08,Ancona,Ancona,Castelfidardo,sì
07/08,Ancona,Ancona,Fabriano,sì
07/08,Ancona,Ancona,Falconara Marittima,sì
07/08,Ancona,Ancona,Jesi,sì
07/08,Ancona,Ancona,Osimo,sì
07/08,Ancona,Macerata,Porto Recanati,sì
07/08,Ancona,Ancona,Senigallia,sì
08/09,Ancona,Ancona,Ancona,sì
08/09,Ancona,Ancona,Castelfidardo,sì
08/09,Ancona,Ancona,Fabriano,sì
08/09,Ancona,Ancona,Falconara Marittima,sì
08/09,Ancona,Ancona,Jesi,sì
08/09,Ancona,Ancona,Osimo,sì
08/09,Ancona,Macerata,Porto Recanati,sì
08/09,Ancona,Ancona,Senigallia,sì
09/10,Ancona,Ancona,Ancona,sì
09/10,Ancona,Ancona,Castelfidardo,sì
09/10,Ancona,Ancona,Fabriano,sì
09/10,Ancona,Ancona,Falconara Marittima,sì
09/10,Ancona,Ancona,Jesi,sì
09/10,Ancona,Ancona,Osimo,sì
09/10,Ancona,Macerata,Porto Recanati,sì
09/10,Ancona,Ancona,Senigallia,sì
11/12,Ancona,Ancona,Ancona,sì
11/12,Ancona,Ancona,Fabriano,sì
11/12,Ancona,Ancona,Falconara Marittima,sì
11/12,Ancona,Ancona,Jesi,sì
11/12,Ancona,Ancona,Osimo,sì
11/12,Ancona,Macerata,Porto Recanati,sì
11/12,Ancona,Ancona,Senigallia,sì
