annata,fascicolo,sezione,nome_normalizzato,tipo,relazione,pagina,collocazione,riferimento,note,origine
85/86,Cagliari - Oristano 85,Elenco delle vie,Elenco vie,,,38,margini,Oristano,,dedotta dalla nota della tavola
85/86,Cagliari - Oristano 85,Tavole topografiche,Tavole topografiche,cartografia,,38,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
85/86,Nuoro - Sassari 85,Nuoro - Sommario,Nuoro - Sommario,,,1,,,,rilevata
85/86,Nuoro - Sassari 85,Il Nuorese,Il Nuorese,,,3,,,Mappa illustrata della provincia,rilevata
85/86,Nuoro - Sassari 85,Conosci la tua città?,Conosci la tua città?,,,4,,,,rilevata
85/86,Nuoro - Sassari 85,Trasporti,Trasporti,,,4,,,,rilevata
85/86,Nuoro - Sassari 85,Sanità,Sanità,,,4,,,,rilevata
85/86,Nuoro - Sassari 85,Istruzione e Sport,Istruzione e Sport,,,5,,,,rilevata
85/86,Nuoro - Sassari 85,Cosa e dove,Cosa e dove,,,6,,,,rilevata
85/86,Nuoro - Sassari 85,La Provincia di Nuoro,La Provincia di Nuoro,cartografia,,7,,,Carta stradale della provincia,rilevata
85/86,Nuoro - Sassari 85,Elenco delle vie,Elenco vie,,,8,margini,Nuoro,,dedotta dalla nota della tavola
85/86,Nuoro - Sassari 85,Tavole topografiche,Tavole topografiche,cartografia,,8,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
85/86,Nuoro - Sassari 85,Sassari - Sommario,Sassari - Sommario,,,11,,,,rilevata
85/86,Nuoro - Sassari 85,Conosci la tua città?,Conosci la tua città?,,,12,,,,rilevata
85/86,Nuoro - Sassari 85,Trasporti,Trasporti,,,13,,,,rilevata
85/86,Nuoro - Sassari 85,Sanità,Sanità,,,14,,,,rilevata
85/86,Nuoro - Sassari 85,Istruzione e Sport,Istruzione e Sport,,,15,,,,rilevata
85/86,Nuoro - Sassari 85,Cosa e dove,Cosa e dove,,,16,,,,rilevata
85/86,Nuoro - Sassari 85,La Provincia di Sassari,La Provincia di Sassari,cartografia,,18,,,Carta stradale della provincia,rilevata
85/86,Nuoro - Sassari 85,Le vie di accesso a Sassari,Le vie di accesso a Sassari,,,19,,,Mappa,rilevata
85/86,Nuoro - Sassari 85,Elenco delle vie,Elenco vie,,,20,,,"1 pagina, cornice grigia",rilevata
85/86,Nuoro - Sassari 85,Tavole topografiche,Tavole topografiche,cartografia,,21,,,"3 tavole, 3 pagine",rilevata
85/86,Nuoro - Sassari 85,Comuni della Provincia di Sassari,Comuni della Provincia di Sassari,,,24,,,Notizie di pubblico interesse e indirizzi utili,rilevata
85/86,Nuoro - Sassari 85,Elenco delle vie,Elenco vie,,,26,margini,Alghero,,dedotta dalla nota della tavola
85/86,Nuoro - Sassari 85,Tavole topografiche,Tavole topografiche,cartografia,,26,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
85/86,Nuoro - Sassari 85,Elenco delle vie,Elenco vie,,,28,margini,Olbia,,dedotta dalla nota della tavola
85/86,Nuoro - Sassari 85,Elenco delle vie,Elenco vie,,,30,margini,Porto Torres,,dedotta dalla nota della tavola
86/87,Cagliari - Oristano 86,Cagliari - Sommario,Cagliari - Sommario,,,1,,,,rilevata
86/87,Cagliari - Oristano 86,Conosci la tua città?,Conosci la tua città?,,,3,,,,rilevata
86/87,Cagliari - Oristano 86,Trasporti,Trasporti,,,5,,,,rilevata
86/87,Cagliari - Oristano 86,Sanità,Sanità,,,6,,,,rilevata
86/87,Cagliari - Oristano 86,Istruzione e Sport,Istruzione e Sport,,,8,,,,rilevata
86/87,Cagliari - Oristano 86,Cosa e dove,Cosa e dove,,,9,,,,rilevata
86/87,Cagliari - Oristano 86,La Provincia di Cagliari,La Provincia di Cagliari,cartografia,,12,,,Carta stradale della provincia,rilevata
86/87,Cagliari - Oristano 86,Le vie di accesso a Cagliari,Le vie di accesso a Cagliari,,,13,,,Mappa,rilevata
86/87,Cagliari - Oristano 86,Elenco delle vie,Elenco vie,,,14,,,"2 pagine, cornice grigia, illustrazioni dei monumenti",rilevata
86/87,Cagliari - Oristano 86,Tavole topografiche,Tavole topografiche,cartografia,,16,,,"7 tavole, 7 pagine",rilevata
86/87,Cagliari - Oristano 86,Comuni della Provincia di Cagliari,Comuni della Provincia di Cagliari,,,23,,,Notizie di pubblico interesse e indirizzi utili,rilevata
86/87,Cagliari - Oristano 86,Elenco delle vie,Elenco vie,,,26,margini,Carbonia,,dedotta dalla nota della tavola
86/87,Cagliari - Oristano 86,Tavole topografiche,Tavole topografiche,cartografia,,26,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
86/87,Cagliari - Oristano 86,Elenco delle vie,Elenco vie,,,28,margini,Iglesias,,dedotta dalla nota della tavola
86/87,Cagliari - Oristano 86,Elenco delle vie,Elenco vie,,,30,margini,Quartu Sant'Elena,,dedotta dalla nota della tavola
86/87,Cagliari - Oristano 86,L'Oristanese,L'Oristanese,,,32,,,Mappa illustrata della provincia,rilevata
86/87,Cagliari - Oristano 86,Oristano - Sommario,Oristano - Sommario,,,33,,,,rilevata
86/87,Cagliari - Oristano 86,Conosci la tua città?,Conosci la tua città?,,,34,,,,rilevata
86/87,Cagliari - Oristano 86,Trasporti,Trasporti,,,34,,,,rilevata
86/87,Cagliari - Oristano 86,Sanità,Sanità,,,35,,,,rilevata
86/87,Cagliari - Oristano 86,Istruzione e Sport,Istruzione e Sport,,,35,,,,rilevata
86/87,Cagliari - Oristano 86,Cosa e dove,Cosa e dove,,,35,,,,rilevata
86/87,Cagliari - Oristano 86,La Provincia di Oristano,La Provincia di Oristano,cartografia,,37,,,Carta stradale della provincia,rilevata
86/87,Cagliari - Oristano 86,Elenco delle vie,Elenco vie,,,38,margini,Oristano,,dedotta dalla nota della tavola
86/87,Cagliari - Oristano 86,Tavole topografiche,Tavole topografiche,cartografia,,38,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
86/87,Nuoro - Sassari 86,Nuoro - Sommario,Nuoro - Sommario,,,1,,,,rilevata
86/87,Nuoro - Sassari 86,Il Nuorese,Il Nuorese,,,3,,,Mappa illustrata della provincia,rilevata
86/87,Nuoro - Sassari 86,Conosci la tua città?,Conosci la tua città?,,,4,,,,rilevata
86/87,Nuoro - Sassari 86,Trasporti,Trasporti,,,4,,,,rilevata
86/87,Nuoro - Sassari 86,Sanità,Sanità,,,4,,,,rilevata
86/87,Nuoro - Sassari 86,Istruzione e Sport,Istruzione e Sport,,,5,,,,rilevata
86/87,Nuoro - Sassari 86,Cosa e dove,Cosa e dove,,,5,,,,rilevata
86/87,Nuoro - Sassari 86,La Provincia di Nuoro,La Provincia di Nuoro,cartografia,,7,,,Carta stradale della provincia,rilevata
86/87,Nuoro - Sassari 86,Elenco delle vie,Elenco vie,,,8,margini,Nuoro,,dedotta dalla nota della tavola
86/87,Nuoro - Sassari 86,Tavole topografiche,Tavole topografiche,cartografia,,8,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
86/87,Nuoro - Sassari 86,Sassari - Sommario,Sassari - Sommario,,,11,,,,rilevata
86/87,Nuoro - Sassari 86,Conosci la tua città?,Conosci la tua città?,,,12,,,,rilevata
86/87,Nuoro - Sassari 86,Trasporti,Trasporti,,,13,,,,rilevata
86/87,Nuoro - Sassari 86,Sanità,Sanità,,,13,,,,rilevata
86/87,Nuoro - Sassari 86,Istruzione e Sport,Istruzione e Sport,,,14,,,,rilevata
86/87,Nuoro - Sassari 86,Cosa e dove,Cosa e dove,,,15,,,,rilevata
86/87,Nuoro - Sassari 86,La Provincia di Sassari,La Provincia di Sassari,cartografia,,18,,,Carta stradale della provincia,rilevata
86/87,Nuoro - Sassari 86,Le vie di accesso a Sassari,Le vie di accesso a Sassari,,,19,,,Mappa,rilevata
86/87,Nuoro - Sassari 86,Elenco delle vie,Elenco vie,,,20,,,"1 pagina, cornice grigia",rilevata
86/87,Nuoro - Sassari 86,Tavole topografiche,Tavole topografiche,cartografia,,21,,,"3 tavole, 3 pagine",rilevata
86/87,Nuoro - Sassari 86,Comuni della Provincia di Sassari,Comuni della Provincia di Sassari,,,24,,,Notizie di pubblico interesse e indirizzi utili,rilevata
86/87,Nuoro - Sassari 86,Elenco delle vie,Elenco vie,,,26,margini,Alghero,,dedotta dalla nota della tavola
86/87,Nuoro - Sassari 86,Tavole topografiche,Tavole topografiche,cartografia,,26,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
86/87,Nuoro - Sassari 86,Elenco delle vie,Elenco vie,,,28,margini,Olbia,,dedotta dalla nota della tavola
86/87,Nuoro - Sassari 86,Elenco delle vie,Elenco vie,,,30,margini,Porto Torres,,dedotta dalla nota della tavola
87/88,Cagliari - Oristano 87,Cagliari - Sommario,Cagliari - Sommario,,,1,,,,rilevata
87/88,Cagliari - Oristano 87,Conosci la tua città?,Conosci la tua città?,,,3,,,,rilevata
87/88,Cagliari - Oristano 87,Trasporti,Trasporti,,,4,,,,rilevata
87/88,Cagliari - Oristano 87,Sanità,Sanità,,,5,,,,rilevata
87/88,Cagliari - Oristano 87,Istruzione e Sport,Istruzione e Sport,,,8,,,,rilevata
87/88,Cagliari - Oristano 87,Cosa e dove,Cosa e dove,,,9,,,,rilevata
87/88,Cagliari - Oristano 87,La Provincia di Cagliari,La Provincia di Cagliari,cartografia,,12,,,Carta stradale della provincia,rilevata
87/88,Cagliari - Oristano 87,Le vie di accesso a Cagliari,Le vie di accesso a Cagliari,,,13,,,Mappa,rilevata
87/88,Cagliari - Oristano 87,Elenco delle vie,Elenco vie,,,14,,,"2 pagine, cornice grigia, illustrazioni dei monumenti",rilevata
87/88,Cagliari - Oristano 87,Tavole topografiche,Tavole topografiche,cartografia,,16,,,"7 tavole, 7 pagine",rilevata
87/88,Cagliari - Oristano 87,Comuni della Provincia di Cagliari,Comuni della Provincia di Cagliari,,,23,,,Notizie di pubblico interesse e indirizzi utili,rilevata
87/88,Cagliari - Oristano 87,Elenco delle vie,Elenco vie,,,26,margini,Carbonia,,dedotta dalla nota della tavola
87/88,Cagliari - Oristano 87,Tavole topografiche,Tavole topografiche,cartografia,,26,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
87/88,Cagliari - Oristano 87,Elenco delle vie,Elenco vie,,,28,margini,Iglesias,,dedotta dalla nota della tavola
87/88,Cagliari - Oristano 87,Elenco delle vie,Elenco vie,,,30,margini,Quartu Sant'Elena,,dedotta dalla nota della tavola
87/88,Cagliari - Oristano 87,La Valle del Tirso produce,L'Oristanese,,"titolo assunto da ""L'Oristanese"" nel 87/88",32,,,Mappa illustrata della provincia,rilevata
87/88,Cagliari - Oristano 87,Oristano - Sommario,Oristano - Sommario,,,33,,,,rilevata
87/88,Cagliari - Oristano 87,Conosci la tua città?,Conosci la tua città?,,,33,,,,rilevata
87/88,Cagliari - Oristano 87,Trasporti,Trasporti,,,34,,,,rilevata
87/88,Cagliari - Oristano 87,Sanità,Sanità,,,34,,,,rilevata
87/88,Cagliari - Oristano 87,Istruzione e Sport,Istruzione e Sport,,,35,,,,rilevata
87/88,Cagliari - Oristano 87,Cosa e dove,Cosa e dove,,,35,,,,rilevata
87/88,Cagliari - Oristano 87,La Provincia di Oristano,La Provincia di Oristano,cartografia,,37,,,Carta stradale della provincia,rilevata
87/88,Cagliari - Oristano 87,Elenco delle vie,Elenco vie,,,38,margini,Oristano,,dedotta dalla nota della tavola
87/88,Cagliari - Oristano 87,Tavole topografiche,Tavole topografiche,cartografia,,38,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
87/88,Nuoro - Sassari 87,Nuoro - Sommario,Nuoro - Sommario,,,1,,,,rilevata
87/88,Nuoro - Sassari 87,Conosci la tua città?,Conosci la tua città?,,,4,,,,rilevata
87/88,Nuoro - Sassari 87,Trasporti,Trasporti,,,4,,,,rilevata
87/88,Nuoro - Sassari 87,Sanità,Sanità,,,5,,,,rilevata
87/88,Nuoro - Sassari 87,Istruzione e Sport,Istruzione e Sport,,,5,,,,rilevata
87/88,Nuoro - Sassari 87,Cosa e dove,Cosa e dove,,,6,,,,rilevata
87/88,Nuoro - Sassari 87,La Provincia di Nuoro,La Provincia di Nuoro,cartografia,,7,,,Carta stradale della provincia,rilevata
87/88,Nuoro - Sassari 87,Elenco delle vie,Elenco vie,,,8,margini,Nuoro,,dedotta dalla nota della tavola
87/88,Nuoro - Sassari 87,Tavole topografiche,Tavole topografiche,cartografia,,8,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
87/88,Nuoro - Sassari 87,Sassari - Sommario,Sassari - Sommario,,,11,,,,rilevata
87/88,Nuoro - Sassari 87,Conosci la tua città?,Conosci la tua città?,,,12,,,,rilevata
87/88,Nuoro - Sassari 87,Trasporti,Trasporti,,,13,,,,rilevata
87/88,Nuoro - Sassari 87,Sanità,Sanità,,,13,,,,rilevata
87/88,Nuoro - Sassari 87,Istruzione e Sport,Istruzione e Sport,,,14,,,,rilevata
87/88,Nuoro - Sassari 87,Cosa e dove,Cosa e dove,,,15,,,,rilevata
87/88,Nuoro - Sassari 87,La Provincia di Sassari,La Provincia di Sassari,cartografia,,18,,,Carta stradale della provincia,rilevata
87/88,Nuoro - Sassari 87,Le vie di accesso a Sassari,Le vie di accesso a Sassari,,,19,,,Mappa,rilevata
87/88,Nuoro - Sassari 87,Elenco delle vie,Elenco vie,,,20,,,"1 pagina, cornice grigia",rilevata
87/88,Nuoro - Sassari 87,Tavole topografiche,Tavole topografiche,cartografia,,21,,,"3 tavole, 3 pagine",rilevata
87/88,Nuoro - Sassari 87,Comuni della Provincia di Sassari,Comuni della Provincia di Sassari,,,24,,,Notizie di pubblico interesse e indirizzi utili,rilevata
87/88,Nuoro - Sassari 87,Elenco delle vie,Elenco vie,,,26,margini,Alghero,,dedotta dalla nota della tavola
87/88,Nuoro - Sassari 87,Tavole topografiche,Tavole topografiche,cartografia,,26,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
87/88,Nuoro - Sassari 87,Elenco delle vie,Elenco vie,,,28,margini,Olbia,,dedotta dalla nota della tavola
87/88,Nuoro - Sassari 87,Elenco delle vie,Elenco vie,,,30,margini,Porto Torres,,dedotta dalla nota della tavola
88/89,Cagliari - Oristano 88,Cagliari - Sommario,Cagliari - Sommario,,,1,,,,rilevata
88/89,Cagliari - Oristano 88,Conosci la tua città?,Conosci la tua città?,,,3,,,,rilevata
88/89,Cagliari - Oristano 88,Trasporti,Trasporti,,,4,,,,rilevata
88/89,Cagliari - Oristano 88,Sanità,Sanità,,,5,,,,rilevata
88/89,Cagliari - Oristano 88,Istruzione e Sport,Istruzione e Sport,,,8,,,,rilevata
88/89,Cagliari - Oristano 88,Cosa e dove,Cosa e dove,,,9,,,,rilevata
88/89,Cagliari - Oristano 88,La Provincia di Cagliari,La Provincia di Cagliari,cartografia,,12,,,Carta stradale della provincia,rilevata
88/89,Cagliari - Oristano 88,Le vie di accesso a Cagliari,Le vie di accesso a Cagliari,,,13,,,Mappa,rilevata
88/89,Cagliari - Oristano 88,Elenco delle vie,Elenco vie,,,14,,,"2 pagine, cornice grigia, illustrazioni dei monumenti",rilevata
88/89,Cagliari - Oristano 88,Tavole topografiche,Tavole topografiche,cartografia,,16,,,"7 tavole, 7 pagine",rilevata
88/89,Cagliari - Oristano 88,Comuni della Provincia di Cagliari,Comuni della Provincia di Cagliari,,,23,,,Notizie di pubblico interesse e indirizzi utili,rilevata
88/89,Cagliari - Oristano 88,Elenco delle vie,Elenco vie,,,26,margini,Carbonia,,dedotta dalla nota della tavola
88/89,Cagliari - Oristano 88,Tavole topografiche,Tavole topografiche,cartografia,,26,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
88/89,Cagliari - Oristano 88,Elenco delle vie,Elenco vie,,,28,margini,Iglesias,,dedotta dalla nota della tavola
88/89,Cagliari - Oristano 88,Elenco delle vie,Elenco vie,,,30,margini,Quartu Sant'Elena,,dedotta dalla nota della tavola
88/89,Cagliari - Oristano 88,Oristano - Sommario,Oristano - Sommario,,,33,,,,rilevata
88/89,Cagliari - Oristano 88,Conosci la tua città?,Conosci la tua città?,,,34,,,,rilevata
88/89,Cagliari - Oristano 88,Trasporti,Trasporti,,,34,,,,rilevata
88/89,Cagliari - Oristano 88,Sanità,Sanità,,,34,,,,rilevata
88/89,Cagliari - Oristano 88,Istruzione e Sport,Istruzione e Sport,,,35,,,,rilevata
88/89,Cagliari - Oristano 88,Cosa e dove,Cosa e dove,,,35,,,,rilevata
88/89,Cagliari - Oristano 88,La Provincia di Oristano,La Provincia di Oristano,cartografia,,37,,,Carta stradale della provincia,rilevata
88/89,Cagliari - Oristano 88,Elenco delle vie,Elenco vie,,,38,margini,Oristano,,dedotta dalla nota della tavola
88/89,Cagliari - Oristano 88,Tavole topografiche,Tavole topografiche,cartografia,,38,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
88/89,Nuoro - Sassari 88,Nuoro - Sommario,Nuoro - Sommario,,,1,,,,rilevata
88/89,Nuoro - Sassari 88,Conosci la tua città?,Conosci la tua città?,,,2,,,,rilevata
88/89,Nuoro - Sassari 88,Trasporti,Trasporti,,,2,,,,rilevata
88/89,Nuoro - Sassari 88,Sanità,Sanità,,,3,,,,rilevata
88/89,Nuoro - Sassari 88,Istruzione e Sport,Istruzione e Sport,,,3,,,,rilevata
88/89,Nuoro - Sassari 88,Cosa e dove,Cosa e dove,,,4,,,,rilevata
88/89,Nuoro - Sassari 88,La Provincia di Nuoro,La Provincia di Nuoro,cartografia,,5,,,Carta stradale della provincia,rilevata
88/89,Nuoro - Sassari 88,Elenco delle vie,Elenco vie,,,6,margini,Nuoro,,dedotta dalla nota della tavola
88/89,Nuoro - Sassari 88,Tavole topografiche,Tavole topografiche,cartografia,,6,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
88/89,Nuoro - Sassari 88,Sassari - Sommario,Sassari - Sommario,,,9,,,,rilevata
88/89,Nuoro - Sassari 88,Conosci la tua città?,Conosci la tua città?,,,10,,,,rilevata
88/89,Nuoro - Sassari 88,Trasporti,Trasporti,,,11,,,,rilevata
88/89,Nuoro - Sassari 88,Sanità,Sanità,,,11,,,,rilevata
88/89,Nuoro - Sassari 88,Istruzione e Sport,Istruzione e Sport,,,12,,,,rilevata
88/89,Nuoro - Sassari 88,Cosa e dove,Cosa e dove,,,13,,,,rilevata
88/89,Nuoro - Sassari 88,La Provincia di Sassari,La Provincia di Sassari,cartografia,,16,,,Carta stradale della provincia,rilevata
88/89,Nuoro - Sassari 88,Le vie di accesso a Sassari,Le vie di accesso a Sassari,,,17,,,Mappa,rilevata
88/89,Nuoro - Sassari 88,Elenco delle vie,Elenco vie,,,18,,,"1 pagina, cornice grigia",rilevata
88/89,Nuoro - Sassari 88,Tavole topografiche,Tavole topografiche,cartografia,,19,,,"3 tavole, 3 pagine",rilevata
88/89,Nuoro - Sassari 88,Comuni della Provincia di Sassari,Comuni della Provincia di Sassari,,,22,,,Notizie di pubblico interesse e indirizzi utili,rilevata
88/89,Nuoro - Sassari 88,Elenco delle vie,Elenco vie,,,26,margini,Alghero,,dedotta dalla nota della tavola
88/89,Nuoro - Sassari 88,Tavole topografiche,Tavole topografiche,cartografia,,26,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
88/89,Nuoro - Sassari 88,Elenco delle vie,Elenco vie,,,28,margini,Olbia,,dedotta dalla nota della tavola
88/89,Nuoro - Sassari 88,Elenco delle vie,Elenco vie,,,30,margini,Porto Torres,,dedotta dalla nota della tavola
89/90,Cagliari - Oristano 89,Cagliari - Sommario,Cagliari - Sommario,,,1,,,,rilevata
89/90,Cagliari - Oristano 89,Conosci la tua città?,Conosci la tua città?,,,3,,,,rilevata
89/90,Cagliari - Oristano 89,Trasporti,Trasporti,,,5,,,,rilevata
89/90,Cagliari - Oristano 89,Sanità,Sanità,,,6,,,,rilevata
89/90,Cagliari - Oristano 89,Istruzione e Sport,Istruzione e Sport,,,8,,,,rilevata
89/90,Cagliari - Oristano 89,Cosa e dove,Cosa e dove,,,10,,,,rilevata
89/90,Cagliari - Oristano 89,La Provincia di Cagliari,La Provincia di Cagliari,cartografia,,12,,,Carta stradale della provincia,rilevata
89/90,Cagliari - Oristano 89,Le vie di accesso a Cagliari,Le vie di accesso a Cagliari,,,13,,,Mappa,rilevata
89/90,Cagliari - Oristano 89,Elenco delle vie,Elenco vie,,,14,,,"2 pagine, cornice grigia, illustrazioni dei monumenti",rilevata
89/90,Cagliari - Oristano 89,Tavole topografiche,Tavole topografiche,cartografia,,16,,,"7 tavole, 7 pagine",rilevata
89/90,Cagliari - Oristano 89,Comuni della Provincia di Cagliari,Comuni della Provincia di Cagliari,,,24,,,Notizie di pubblico interesse e indirizzi utili,rilevata
89/90,Cagliari - Oristano 89,Elenco delle vie,Elenco vie,,,26,margini,Carbonia,,dedotta dalla nota della tavola
89/90,Cagliari - Oristano 89,Tavole topografiche,Tavole topografiche,cartografia,,26,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
89/90,Cagliari - Oristano 89,Elenco delle vie,Elenco vie,,,28,margini,Iglesias,,dedotta dalla nota della tavola
89/90,Cagliari - Oristano 89,Elenco delle vie,Elenco vie,,,30,margini,Quartu Sant'Elena,,dedotta dalla nota della tavola
89/90,Cagliari - Oristano 89,Oristano - Sommario,Oristano - Sommario,,,33,,,,rilevata
89/90,Cagliari - Oristano 89,Conosci la tua città?,Conosci la tua città?,,,34,,,,rilevata
89/90,Cagliari - Oristano 89,Trasporti,Trasporti,,,34,,,,rilevata
89/90,Cagliari - Oristano 89,Sanità,Sanità,,,35,,,,rilevata
89/90,Cagliari - Oristano 89,Istruzione e Sport,Istruzione e Sport,,,35,,,,rilevata
89/90,Cagliari - Oristano 89,Cosa e dove,Cosa e dove,,,35,,,,rilevata
89/90,Cagliari - Oristano 89,La Provincia di Oristano,La Provincia di Oristano,cartografia,,37,,,Carta stradale della provincia,rilevata
89/90,Cagliari - Oristano 89,Elenco delle vie,Elenco vie,,,38,margini,Oristano,,dedotta dalla nota della tavola
89/90,Cagliari - Oristano 89,Tavole topografiche,Tavole topografiche,cartografia,,38,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
89/90,Nuoro - Sassari 89,Nuoro - Sommario,Nuoro - Sommario,,,1,,,,rilevata
89/90,Nuoro - Sassari 89,Conosci la tua città?,Conosci la tua città?,,,2,,,,rilevata
89/90,Nuoro - Sassari 89,Trasporti,Trasporti,,,2,,,,rilevata
89/90,Nuoro - Sassari 89,Sanità,Sanità,,,3,,,,rilevata
89/90,Nuoro - Sassari 89,Istruzione e Sport,Istruzione e Sport,,,3,,,,rilevata
89/90,Nuoro - Sassari 89,Cosa e dove,Cosa e dove,,,4,,,,rilevata
89/90,Nuoro - Sassari 89,La Provincia di Nuoro,La Provincia di Nuoro,cartografia,,5,,,Carta stradale della provincia,rilevata
89/90,Nuoro - Sassari 89,Elenco delle vie,Elenco vie,,,6,margini,Nuoro,,dedotta dalla nota della tavola
89/90,Nuoro - Sassari 89,Tavole topografiche,Tavole topografiche,cartografia,,6,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
89/90,Nuoro - Sassari 89,Sassari - Sommario,Sassari - Sommario,,,11,,,,rilevata
89/90,Nuoro - Sassari 89,Conosci la tua città?,Conosci la tua città?,,,12,,,,rilevata
89/90,Nuoro - Sassari 89,Trasporti,Trasporti,,,13,,,,rilevata
89/90,Nuoro - Sassari 89,Sanità,Sanità,,,13,,,,rilevata
89/90,Nuoro - Sassari 89,Istruzione e Sport,Istruzione e Sport,,,15,,,,rilevata
89/90,Nuoro - Sassari 89,Cosa e dove,Cosa e dove,,,15,,,,rilevata
89/90,Nuoro - Sassari 89,La Provincia di Sassari,La Provincia di Sassari,cartografia,,18,,,Carta stradale della provincia,rilevata
89/90,Nuoro - Sassari 89,Le vie di accesso a Sassari,Le vie di accesso a Sassari,,,19,,,Mappa,rilevata
89/90,Nuoro - Sassari 89,Elenco delle vie,Elenco vie,,,20,,,"1 pagina, cornice grigia",rilevata
89/90,Nuoro - Sassari 89,Tavole topografiche,Tavole topografiche,cartografia,,21,,,"3 tavole, 3 pagine",rilevata
89/90,Nuoro - Sassari 89,Comuni della Provincia di Sassari,Comuni della Provincia di Sassari,,,24,,,Notizie di pubblico interesse e indirizzi utili,rilevata
89/90,Nuoro - Sassari 89,Elenco delle vie,Elenco vie,,,26,margini,Alghero,,dedotta dalla nota della tavola
89/90,Nuoro - Sassari 89,Tavole topografiche,Tavole topografiche,cartografia,,26,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
89/90,Nuoro - Sassari 89,Elenco delle vie,Elenco vie,,,28,margini,Olbia,,dedotta dalla nota della tavola
89/90,Nuoro - Sassari 89,Elenco delle vie,Elenco vie,,,30,margini,Porto Torres,,dedotta dalla nota della tavola
90/91,Cagliari - Oristano 90/91,Cagliari - Sommario e Nota dell'editore,Cagliari - Sommario,,,1,,,,rilevata
90/91,Cagliari - Oristano 90/91,Centro storico: monumenti di Cagliari,Centro storico: monumenti di Cagliari,cartografia,,2,,,Mappa con monumenti in evidenza,rilevata
90/91,Cagliari - Oristano 90/91,Cagliari e provincia,Cagliari e provincia,,,3,,,,rilevata
90/91,Cagliari - Oristano 90/91,Gli appuntamenti di un anno,Gli appuntamenti di un anno,,,13,,,,rilevata
90/91,Cagliari - Oristano 90/91,Documenti: dove farli,Documenti: dove farli,,"si scinde da ""Cosa e dove"" nel 90/91",15,,,,rilevata
90/91,Cagliari - Oristano 90/91,La Provincia di Cagliari,La Provincia di Cagliari,cartografia,,16,,,Carta stradale della provincia,rilevata
90/91,Cagliari - Oristano 90/91,I trasporti,I trasporti,,,16,,,,rilevata
90/91,Cagliari - Oristano 90/91,Le vie di accesso a Cagliari,Le vie di accesso a Cagliari,,,17,,,Mappa,rilevata
90/91,Cagliari - Oristano 90/91,Tavole topografiche,Tavole topografiche,cartografia,,18,,,"7 tavole, 7 pagine",rilevata
90/91,Cagliari - Oristano 90/91,Elenco vie,Elenco vie,,,33,,,Elenco delle vie di tutti i comuni cartografati,rilevata
90/91,Cagliari - Oristano 90/91,Oristano - Sommario e Nota dell'editore,Oristano - Sommario,,,33,,,,rilevata
90/91,Cagliari - Oristano 90/91,Oristano e provincia,Oristano e provincia,,,34,,,,rilevata
90/91,Cagliari - Oristano 90/91,Gli appuntamenti di un anno,Gli appuntamenti di un anno,,,42,,,,rilevata
90/91,Cagliari - Oristano 90/91,Documenti: dove farli,Documenti: dove farli,,"si scinde da ""Cosa e dove"" nel 90/91",43,,,,rilevata
90/91,Cagliari - Oristano 90/91,La Provincia di Oristano,La Provincia di Oristano,cartografia,,43,,,Carta stradale della provincia,rilevata
90/91,Cagliari - Oristano 90/91,I trasporti,I trasporti,,,43,,,,rilevata
90/91,Cagliari - Oristano 90/91,Tavole topografiche,Tavole topografiche,cartografia,,44,,,"1 tavola, 2 pagine",rilevata
90/91,Cagliari - Oristano 90/91,Elenco vie,Elenco vie,,,46,,,Elenco delle vie di Oristano,rilevata
90/91,Nuoro - Sassari 90/91,Nuoro - Sommario e Nota dell'editore,Nuoro - Sommario,,,1,,,,rilevata
