annata,fascicolo,sezione,nome_normalizzato,tipo,relazione,pagina,collocazione,riferimento,note,origine
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Trasporti,Trasporti,,,4,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Sanità,Sanità,,,5,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Istruzione e Sport,Istruzione e Sport,,,7,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Cosa e dove,Cosa e dove,,,9,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Comuni della Provincia di Cagliari,Comuni della Provincia di Cagliari,,,11,,,Notizie di pubblico interesse e indirizzi utili,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,La Provincia di Cagliari,La Provincia di Cagliari,cartografia,,12,,,Carta stradale della provincia,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Le vie di accesso a Cagliari,Le vie di accesso a Cagliari,,,13,,,Mappa,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Elenco delle vie,Elenco vie,,,14,,,"2 pagine, cornice grigia, con foto della città",rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Tavole topografiche,Tavole topografiche,cartografia,,16,,,"6 tavole, 6 pagine",rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Elenco delle vie,Elenco vie,,,22,margini,Carbonia,,dedotta dalla nota della tavola
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Elenco delle vie,Elenco vie,,,24,margini,Quartu Sant'Elena,,dedotta dalla nota della tavola
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Il Nuorese,Il Nuorese,,,26,,,Mappa illustrata della provincia,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Nuoro - Sommario,Nuoro - Sommario,,,27,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Conosci la tua città?,Conosci la tua città?,,,28,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Trasporti,Trasporti,,,28,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Sanità,Sanità,,,28,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Istruzione e Sport,Istruzione e Sport,,,29,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Cosa e dove,Cosa e dove,,,30,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,La Provincia di Nuoro,La Provincia di Nuoro,cartografia,,31,,,Carta stradale della provincia,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Elenco delle vie,Elenco vie,,,32,margini,Nuoro,,dedotta dalla nota della tavola
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Tavole topografiche,Tavole topografiche,cartografia,,32,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,L'Oristanese,L'Oristanese,,,34,,,Mappa illustrata della provincia,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Oristano - Sommario,Oristano - Sommario,,,35,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Conosci la tua città?,Conosci la tua città?,,,36,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Trasporti,Trasporti,,,36,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Sanità,Sanità,,,37,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Istruzione e Sport,Istruzione e Sport,,,37,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Cosa e dove,Cosa e dove,,,38,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,La Provincia di Oristano,La Provincia di Oristano,cartografia,,39,,,Carta stradale della provincia,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Elenco delle vie,Elenco vie,,,40,margini,Oristano,,dedotta dalla nota della tavola
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Tavole topografiche,Tavole topografiche,cartografia,,40,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Sassari - Sommario,Sassari - Sommario,,,43,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Conosci la tua città?,Conosci la tua città?,,,44,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Trasporti,Trasporti,,,45,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Sanità,Sanità,,,46,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Istruzione e Sport,Istruzione e Sport,,,47,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Cosa e dove,Cosa e dove,,,48,,,,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Comuni della Provincia di Sassari,Comuni della Provincia di Sassari,,,50,,,Notizie di pubblico interesse e indirizzi utili,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,La Provincia di Sassari,La Provincia di Sassari,cartografia,,52,,,Carta stradale della provincia,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Le vie di accesso a Sassari,Le vie di accesso a Sassari,,,53,,,Mappa,rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Elenco delle vie,Elenco vie,,,54,,,"1 pagina, cornice grigia",rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Tavole topografiche,Tavole topografiche,cartografia,,55,,,"3 tavole, 3 pagine",rilevata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Elenco delle vie,Elenco vie,,,58,margini,Alghero,,dedotta dalla nota della tavola
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Elenco delle vie,Elenco vie,,,60,margini,Olbia,,dedotta dalla nota della tavola
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Elenco delle vie,Elenco vie,,,62,margini,Porto Torres,,dedotta dalla nota della tavola
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Cagliari - Sommario,Cagliari - Sommario,,,1,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Conosci la tua città?,Conosci la tua città?,,,2,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Trasporti,Trasporti,,,4,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Sanità,Sanità,,,5,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Istruzione e Sport,Istruzione e Sport,,,7,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Cosa e dove,Cosa e dove,,,9,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Comuni della Provincia di Cagliari,Comuni della Provincia di Cagliari,,,11,,,Notizie di pubblico interesse e indirizzi utili,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,La Provincia di Cagliari,La Provincia di Cagliari,cartografia,,12,,,Carta stradale della provincia,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Le vie di accesso a Cagliari,Le vie di accesso a Cagliari,,,13,,,Mappa,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Elenco delle vie,Elenco vie,,,14,,,"2 pagine, cornice grigia, illustrazioni dei monumenti",rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Tavole topografiche,Tavole topografiche,cartografia,,16,,,"6 tavole, 6 pagine",rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Elenco delle vie,Elenco vie,,,22,margini,Carbonia,,dedotta dalla nota della tavola
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Elenco delle vie,Elenco vie,,,24,margini,Quartu Sant'Elena,,dedotta dalla nota della tavola
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Il Nuorese,Il Nuorese,,,26,,,Mappa illustrata della provincia,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Nuoro - Sommario,Nuoro - Sommario,,,27,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Conosci la tua città?,Conosci la tua città?,,,27,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Trasporti,Trasporti,,,28,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Sanità,Sanità,,,28,,,,rilevata
