annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,pagine_comprese_copertine,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
87/88,Catania,Catania 88,88,Copertina 88 edifici,246 x 280 mm,grossa,TuttoCittà '80 edifici,64,,settembre 1987,,CT88.jpg,True,accertata
87/88,Agrigento - Caltanissetta,Agrigento - Caltanissetta 88,88,Copertina 88 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,16,,settembre 1987,,AGCL88.jpg,True,accertata
87/88,Trapani,Trapani 88,88,Copertina 88 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,16,,settembre 1987,,TP88.jpg,True,accertata
87/88,Enna - Ragusa - Siracusa,Enna - Ragusa - Siracusa 88,88,Copertina 88 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,32,,settembre 1987,,ENRGSR88.jpg,True,accertata
87/88,Messina,Messina 88,88,Copertina 88 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,24,,settembre 1987,,ME88.jpg,True,accertata
88/89,Palermo,Palermo 89,89,Copertina 89 edifici,246 x 280 mm,grossa,TuttoCittà '80 edifici,72,,settembre 1988,,PA89.jpg,True,accertata
88/89,Catania,Catania 89,89,Copertina 89 edifici,246 x 280 mm,grossa,TuttoCittà '80 edifici,,,,,Ricercato1.jpg,False,accertata
88/89,Agrigento - Caltanissetta,Agrigento - Caltanissetta 89,89,Copertina 89 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,16,,ottobre 1988,,AGCL89.jpg,True,accertata
88/89,Trapani,Trapani 89,89,Copertina 89 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,16,,ottobre 1988,,TP89.jpg,True,accertata
88/89,Enna - Ragusa - Siracusa,Enna - Ragusa - Siracusa 89,89,Copertina 89 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,32,,ottobre 1988,,ENRGSR89.jpg,True,accertata
88/89,Messina,Messina 89,89,Copertina 89 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,24,,settembre 1988,,ME89.jpg,True,accertata
89/90,Palermo,Palermo 90,90,Copertina 90 edifici,246 x 280 mm,grossa,TuttoCittà '80 edifici,72,,settembre 1989,,PA90.jpg,True,accertata
89/90,Catania,Catania 90,90,Copertina 90 edifici,246 x 280 mm,grossa,TuttoCittà '80 edifici,64,,ottobre 1989,,CT90.jpg,True,accertata
89/90,Agrigento,Agrigento 90,90,Copertina 90 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,16,,ottobre 1989,,AG90.jpg,True,accertata
89/90,Trapani,Trapani 90,90,Copertina 90 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,16,,ottobre 1989,,TP90.jpg,True,accertata
89/90,Ragusa - Siracusa,Ragusa - Siracusa 90,90,Copertina 90 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,24,,ottobre 1989,,RGSR90.jpg,True,accertata
89/90,Caltanissetta - Enna,Caltanissetta - Enna 90,90,Copertina 90 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,16,,ottobre 1989,,CLEN90.jpg,True,accertata
89/90,Messina,Messina 90,90,Copertina 90 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,24,,settembre 1989,,ME90.jpg,True,accertata
90/91,Palermo,Palermo 91,91,Copertina 1991 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,72,,ottobre 1990,nota dell'editore,PA91.jpg,True,accertata
90/91,Catania,Catania 91,91,Copertina 1991 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,64,,ottobre 1990,nota dell'editore,CT91.jpg,True,accertata
90/91,Agrigento,Agrigento 91,91,Copertina 1991 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,,ottobre 1990,nota dell'editore,AG91.jpg,True,accertata
90/91,Trapani,Trapani 91,91,Copertina 1991 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,,ottobre 1990,nota dell'editore,TP91.jpg,True,accertata
90/91,Ragusa - Siracusa,Ragusa - Siracusa 91,91,Copertina 1991 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,32,,ottobre 1990,nota dell'editore,RGSR91.jpg,True,accertata
90/91,Caltanissetta - Enna,Caltanissetta - Enna 91,91,Copertina 1991 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,,ottobre 1990,nota dell'editore,CLEN91.jpg,True,accertata
90/91,Messina,Messina 91,91,Copertina 1991 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,,ottobre 1990,nota dell'editore,ME91.jpg,True,accertata
91/92,Palermo,Palermo 92,92,Copertina 92 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,80,,ottobre 1991,,PA92.jpg,True,accertata
91/92,Catania,Catania 92,92,Copertina 92 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,64,,ottobre 1991,,CT92.jpg,True,accertata
91/92,Agrigento,Agrigento 92,92,Copertina 92 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,,ottobre 1991,,AG92.jpg,True,accertata
