annata,fascicolo,citta,pagina,tavole,pagine_tavola,elenco_vie,illustrazioni,nota,cambiamenti
97/98,Nuoro - Sassari 97,Nuoro,12,2,2,sezione dedicata,,"2 tavole, 2 pagine",Leggera revisione e uniformità grafica
97/98,Nuoro - Sassari 97,Macomer,14,1,1,sezione dedicata,,"1 tavola, 1 pagina",Leggera revisione e uniformità grafica
97/98,Nuoro - Sassari 97,Sassari,24,4,4,sezione dedicata,,"4 tavole, 4 pagine",Leggera revisione e uniformità grafica
97/98,Nuoro - Sassari 97,Zona industriale Predda Niedda,28,1,1,sezione dedicata,,"1 tavola, 1 pagina",
97/98,Nuoro - Sassari 97,La Maddalena,29,1,1,sezione dedicata,,"1 tavola, 1 pagina",Leggera revisione e uniformità grafica
97/98,Nuoro - Sassari 97,Alghero,30,2,2,sezione dedicata,,"2 tavole, 2 pagine",Leggera revisione e uniformità grafica
97/98,Nuoro - Sassari 97,Olbia,32,2,2,sezione dedicata,,"2 tavole, 2 pagine",Leggera revisione e uniformità grafica
97/98,Nuoro - Sassari 97,Porto Torres,34,2,2,sezione dedicata,,"2 tavole, 2 pagine",Leggera revisione e uniformità grafica
97/98,Nuoro - Sassari 97,Tempio Pausania,36,1,1,sezione dedicata,,"1 tavola, 1 pagina",Leggera revisione e uniformità grafica
98/99,Cagliari 98,Cagliari,8,7,7,sezione dedicata,,"7 tavole, 7 pagine",
98/99,Cagliari 98,Assemini,15,1,1,sezione dedicata,,"1 tavola, 1 pagina",
98/99,Cagliari 98,Carbonia,16,2,2,sezione dedicata,,"2 tavole, 2 pagine",
98/99,Cagliari 98,Elmas,18,1,1,sezione dedicata,,"1 tavola, 1 pagina",
98/99,Cagliari 98,Iglesias,20,2,2,sezione dedicata,,"2 tavole, 2 pagine",
98/99,Cagliari 98,Guspini,22,2,2,sezione dedicata,,"2 tavole, 2 pagine",
98/99,Cagliari 98,Monserrato,24,1,1,sezione dedicata,,"1 tavola, 1 pagina",
98/99,Cagliari 98,Pula,25,1,1,sezione dedicata,,"1 tavola, 1 pagina",
98/99,Cagliari 98,Quartu Sant'Elena,26,3,3,sezione dedicata,,"3 tavole, 3 pagine",
99/00,Cagliari 1999/2000,Cagliari,9,6,6,sezione dedicata,,"6 tavole, 6 pagine",Scorporo di una tavola e incorporazione in Selargius
99/00,Cagliari 1999/2000,Assemini,15,1,1,sezione dedicata,,"1 tavola, 1 pagina",
99/00,Cagliari 1999/2000,Carbonia,16,2,2,sezione dedicata,,"2 tavole, 2 pagine",
99/00,Cagliari 1999/2000,Capoterra,18,1,1,sezione dedicata,,"1 tavola, 1 pagina",Nuovo comune cartografato
99/00,Cagliari 1999/2000,Elmas,19,1,1,sezione dedicata,,"1 tavola, 1 pagina",
99/00,Cagliari 1999/2000,Iglesias,20,2,2,sezione dedicata,,"2 tavole, 2 pagine",
99/00,Cagliari 1999/2000,Monserrato,22,1,1,sezione dedicata,,"1 tavola, 1 pagina",
99/00,Cagliari 1999/2000,Pula,23,1,1,sezione dedicata,,"1 tavola, 1 pagina",
99/00,Cagliari 1999/2000,Quartu Sant'Elena,24,3,3,sezione dedicata,,"3 tavole, 3 pagine",
99/00,Cagliari 1999/2000,Selargius,27,3,3,sezione dedicata,,"3 tavole, 3 pagine",Nuovo comune cartografato
99/00,Cagliari 1999/2000,Sanluri,30,2,2,sezione dedicata,,"2 tavole, 2 pagine",Nuovo comune cartografato
99/00,Cagliari 1999/2000,Sestu,32,2,2,sezione dedicata,,"2 tavole, 2 pagine",Nuovo comune cartografato
00/01,Cagliari 2000/2001,Cagliari,9,6,6,sezione dedicata,,"6 tavole, 6 pagine",
00/01,Cagliari 2000/2001,Assemini,16,1,1,sezione dedicata,,"1 tavola, 1 pagina",
00/01,Cagliari 2000/2001,Capoterra,17,1,1,sezione dedicata,,"1 tavola, 1 pagina",
00/01,Cagliari 2000/2001,Carbonia,18,2,2,sezione dedicata,,"2 tavole, 2 pagine",
00/01,Cagliari 2000/2001,Elmas,20,2,2,sezione dedicata,,"2 tavole, 2 pagine",
00/01,Cagliari 2000/2001,Iglesias,22,2,2,sezione dedicata,,"2 tavole, 2 pagine",
00/01,Cagliari 2000/2001,Monserrato,24,1,1,sezione dedicata,,"1 tavola, 1 pagina",
00/01,Cagliari 2000/2001,Muravera,25,1,1,sezione dedicata,,"1 tavola, 1 pagina",Nuovo comune cartografato
00/01,Cagliari 2000/2001,Pula,27,1,1,sezione dedicata,,"1 tavola, 1 pagina",
00/01,Cagliari 2000/2001,Quartu Sant'Elena,28,3,3,sezione dedicata,,"3 tavole, 3 pagine",
00/01,Cagliari 2000/2001,Sarroch,31,1,1,sezione dedicata,,"1 tavola, 1 pagina",Nuovo comune cartografato
00/01,Cagliari 2000/2001,Sanluri,32,2,2,sezione dedicata,,"2 tavole, 2 pagine",
00/01,Cagliari 2000/2001,San Sperate,34,2,2,sezione dedicata,,"2 tavole, 2 pagine",Nuovo comune cartografato
00/01,Cagliari 2000/2001,Selargius,37,3,3,sezione dedicata,,"3 tavole, 3 pagine",
00/01,Cagliari 2000/2001,Senorbì,40,2,2,sezione dedicata,,"2 tavole, 2 pagine",Nuovo comune cartografato
00/01,Cagliari 2000/2001,Sestu,42,2,2,sezione dedicata,,"2 tavole, 2 pagine",
01/02,Cagliari 2001/2002,Cagliari,7,6,6,sezione dedicata,,"6 tavole, 6 pagine",
01/02,Cagliari 2001/2002,Assemini,14,1,1,sezione dedicata,,"1 tavola, 1 pagina",
01/02,Cagliari 2001/2002,Capoterra,15,1,1,sezione dedicata,,"1 tavola, 1 pagina",
01/02,Cagliari 2001/2002,Carbonia,16,2,2,sezione dedicata,,"2 tavole, 2 pagine",
01/02,Cagliari 2001/2002,Elmas,18,2,2,sezione dedicata,,"2 tavole, 2 pagine",
01/02,Cagliari 2001/2002,Iglesias,20,2,2,sezione dedicata,,"2 tavole, 2 pagine",
01/02,Cagliari 2001/2002,Monserrato,22,1,1,sezione dedicata,,"1 tavola, 1 pagina",
01/02,Cagliari 2001/2002,Muravera,23,1,1,sezione dedicata,,"1 tavola, 1 pagina",
01/02,Cagliari 2001/2002,Quartu Sant'Elena,24,3,3,sezione dedicata,,"3 tavole, 3 pagine",
01/02,Cagliari 2001/2002,Pula,27,1,1,sezione dedicata,,"1 tavola, 1 pagina",
01/02,Cagliari 2001/2002,Sanluri,28,2,2,sezione dedicata,,"2 tavole, 2 pagine",
01/02,Cagliari 2001/2002,San Sperate,30,2,2,sezione dedicata,,"2 tavole, 2 pagine",
01/02,Cagliari 2001/2002,Sarroch,32,1,1,sezione dedicata,,"1 tavola, 1 pagina",
01/02,Cagliari 2001/2002,Selargius,33,3,3,sezione dedicata,,"3 tavole, 3 pagine",
01/02,Cagliari 2001/2002,Senorbì,36,2,2,sezione dedicata,,"2 tavole, 2 pagine",
01/02,Cagliari 2001/2002,Sestu,38,2,2,sezione dedicata,,"2 tavole, 2 pagine",
01/02,Cagliari 2001/2002,Villacidro,40,2,2,sezione dedicata,,"2 tavole, 2 pagine",Nuovo comune cartografato
02/03,Cagliari 2002/2003,Cagliari,9,6,6,sezione dedicata,,"6 tavole, 6 pagine",
02/03,Cagliari 2002/2003,Assemini,16,1,1,sezione dedicata,,"1 tavola, 1 pagina",
02/03,Cagliari 2002/2003,Capoterra,17,1,1,sezione dedicata,,"1 tavola, 1 pagina",
02/03,Cagliari 2002/2003,Carbonia,18,2,2,sezione dedicata,,"2 tavole, 2 pagine",
02/03,Cagliari 2002/2003,Elmas,20,2,2,sezione dedicata,,"2 tavole, 2 pagine",
02/03,Cagliari 2002/2003,Iglesias,22,2,2,sezione dedicata,,"2 tavole, 2 pagine",
02/03,Cagliari 2002/2003,Monserrato,24,1,1,sezione dedicata,,"1 tavola, 1 pagina",
02/03,Cagliari 2002/2003,Muravera,25,1,1,sezione dedicata,,"1 tavola, 1 pagina",
02/03,Cagliari 2002/2003,Quartu Sant'Elena,26,3,3,sezione dedicata,,"3 tavole, 3 pagine",
02/03,Cagliari 2002/2003,Pula,31,1,1,sezione dedicata,,"1 tavola, 1 pagina",
02/03,Cagliari 2002/2003,Sanluri,32,2,2,sezione dedicata,,"2 tavole, 2 pagine",
02/03,Cagliari 2002/2003,San Sperate,34,2,2,sezione dedicata,,"2 tavole, 2 pagine",
02/03,Cagliari 2002/2003,Sarroch,36,1,1,sezione dedicata,,"1 tavola, 1 pagina",
02/03,Cagliari 2002/2003,Selargius,37,3,3,sezione dedicata,,"3 tavole, 3 pagine",
02/03,Cagliari 2002/2003,Senorbì,40,2,2,sezione dedicata,,"2 tavole, 2 pagine",
02/03,Cagliari 2002/2003,Sestu,42,2,2,sezione dedicata,,"2 tavole, 2 pagine",
02/03,Cagliari 2002/2003,Villacidro,44,2,2,sezione dedicata,,"2 tavole, 2 pagine",
03/04,Cagliari 2003/2004,Cagliari,9,6,6,sezione dedicata,,"6 tavole, 6 pagine",
03/04,Cagliari 2003/2004,Assemini,16,1,1,sezione dedicata,,"1 tavola, 1 pagina",
03/04,Cagliari 2003/2004,Capoterra,17,1,1,sezione dedicata,,"1 tavola, 1 pagina",
03/04,Cagliari 2003/2004,Carbonia,18,2,2,sezione dedicata,,"2 tavole, 2 pagine",
03/04,Cagliari 2003/2004,Elmas,20,2,2,sezione dedicata,,"2 tavole, 2 pagine",
03/04,Cagliari 2003/2004,Iglesias,22,2,2,sezione dedicata,,"2 tavole, 2 pagine",
03/04,Cagliari 2003/2004,Monserrato,24,1,1,sezione dedicata,,"1 tavola, 1 pagina",
03/04,Cagliari 2003/2004,Muravera,25,1,1,sezione dedicata,,"1 tavola, 1 pagina",
03/04,Cagliari 2003/2004,Quartu Sant'Elena,26,3,3,sezione dedicata,,"3 tavole, 3 pagine",
03/04,Cagliari 2003/2004,Pula,31,1,1,sezione dedicata,,"1 tavola, 1 pagina",
03/04,Cagliari 2003/2004,Sanluri,32,2,2,sezione dedicata,,"2 tavole, 2 pagine",
03/04,Cagliari 2003/2004,San Sperate,34,2,2,sezione dedicata,,"2 tavole, 2 pagine",
03/04,Cagliari 2003/2004,Sarroch,36,1,1,sezione dedicata,,"1 tavola, 1 pagina",
03/04,Cagliari 2003/2004,Selargius,37,3,3,sezione dedicata,,"3 tavole, 3 pagine",
03/04,Cagliari 2003/2004,Senorbì,40,2,2,sezione dedicata,,"2 tavole, 2 pagine",
03/04,Cagliari 2003/2004,Sestu,42,2,2,sezione dedicata,,"2 tavole, 2 pagine",
03/04,Cagliari 2003/2004,Villacidro,44,2,2,sezione dedicata,,"2 tavole, 2 pagine",
04/05,Cagliari 2004,Cagliari,7,6,6,sezione dedicata,,"6 tavole, 6 pagine",
04/05,Cagliari 2004,Assemini,14,1,1,sezione dedicata,,"1 tavola, 1 pagina",
04/05,Cagliari 2004,Capoterra,15,1,1,sezione dedicata,,"1 tavola, 1 pagina",
04/05,Cagliari 2004,Carbonia,16,2,2,sezione dedicata,,"2 tavole, 2 pagine",
04/05,Cagliari 2004,Elmas,18,2,2,sezione dedicata,,"2 tavole, 2 pagine",
04/05,Cagliari 2004,Iglesias,20,2,2,sezione dedicata,,"2 tavole, 2 pagine",
04/05,Cagliari 2004,Monserrato,22,1,1,sezione dedicata,,"1 tavola, 1 pagina",
04/05,Cagliari 2004,Muravera,23,1,1,sezione dedicata,,"1 tavola, 1 pagina",
04/05,Cagliari 2004,Quartu Sant'Elena,24,3,3,sezione dedicata,,"3 tavole, 3 pagine",
04/05,Cagliari 2004,Pula,29,1,1,sezione dedicata,,"1 tavola, 1 pagina",
04/05,Cagliari 2004,Sanluri,30,2,2,sezione dedicata,,"2 tavole, 2 pagine",
04/05,Cagliari 2004,San Sperate,32,2,2,sezione dedicata,,"2 tavole, 2 pagine",
04/05,Cagliari 2004,Sarroch,34,1,1,sezione dedicata,,"1 tavola, 1 pagina",
04/05,Cagliari 2004,Selargius,37,3,3,sezione dedicata,,"3 tavole, 3 pagine",
04/05,Cagliari 2004,Senorbì,40,2,2,sezione dedicata,,"2 tavole, 2 pagine",
04/05,Cagliari 2004,Sestu,42,2,2,sezione dedicata,,"2 tavole, 2 pagine",
04/05,Cagliari 2004,Villacidro,44,2,2,sezione dedicata,,"2 tavole, 2 pagine",
05/06,Cagliari 2005,Cagliari,6,7,7,sezione dedicata,,"7 tavole, 7 pagine","Reincorporo tavola sottratta da Selargius, ora presente anche in Cagliari"
05/06,Cagliari 2005,Assemini,14,1,1,sezione dedicata,,"1 tavola, 1 pagina",
05/06,Cagliari 2005,Capoterra,15,1,1,sezione dedicata,,"1 tavola, 1 pagina",
05/06,Cagliari 2005,Carbonia,16,2,2,sezione dedicata,,"2 tavole, 2 pagine",
05/06,Cagliari 2005,Elmas,18,2,2,sezione dedicata,,"2 tavole, 2 pagine",
05/06,Cagliari 2005,Iglesias,20,2,2,sezione dedicata,,"2 tavole, 2 pagine",
05/06,Cagliari 2005,Monserrato,22,1,1,sezione dedicata,,"1 tavola, 1 pagina",
05/06,Cagliari 2005,Muravera,23,1,1,sezione dedicata,,"1 tavola, 1 pagina",
05/06,Cagliari 2005,Quartu Sant'Elena,24,3,3,sezione dedicata,,"3 tavole, 3 pagine",
05/06,Cagliari 2005,Pula,29,1,1,sezione dedicata,,"1 tavola, 1 pagina",
05/06,Cagliari 2005,Sanluri,30,2,2,sezione dedicata,,"2 tavole, 2 pagine",
05/06,Cagliari 2005,San Sperate,32,2,2,sezione dedicata,,"2 tavole, 2 pagine",
05/06,Cagliari 2005,Sarroch,34,1,1,sezione dedicata,,"1 tavola, 1 pagina",
05/06,Cagliari 2005,Selargius,37,3,3,sezione dedicata,,"3 tavole, 3 pagine",
05/06,Cagliari 2005,Senorbì,40,2,2,sezione dedicata,,"2 tavole, 2 pagine",
05/06,Cagliari 2005,Sestu,42,2,2,sezione dedicata,,"2 tavole, 2 pagine",
05/06,Cagliari 2005,Villacidro,44,2,2,sezione dedicata,,"2 tavole, 2 pagine",
06/07,Cagliari 2006,Cagliari,8,7,7,sezione dedicata,,"7 tavole, 7 pagine",
06/07,Cagliari 2006,Assemini,16,1,1,sezione dedicata,,"1 tavola, 1 pagina",
06/07,Cagliari 2006,Capoterra,17,1,1,sezione dedicata,,"1 tavola, 1 pagina",
06/07,Cagliari 2006,Carbonia,18,2,2,sezione dedicata,,"2 tavole, 2 pagine",
06/07,Cagliari 2006,Elmas,20,2,2,sezione dedicata,,"2 tavole, 2 pagine",
06/07,Cagliari 2006,Iglesias,22,2,2,sezione dedicata,,"2 tavole, 2 pagine",
06/07,Cagliari 2006,Monserrato,24,1,1,sezione dedicata,,"1 tavola, 1 pagina",
06/07,Cagliari 2006,Muravera,25,1,1,sezione dedicata,,"1 tavola, 1 pagina",
06/07,Cagliari 2006,Pula,27,1,1,sezione dedicata,,"1 tavola, 1 pagina",
06/07,Cagliari 2006,Quartu Sant'Elena,28,3,3,sezione dedicata,,"3 tavole, 3 pagine",
06/07,Cagliari 2006,Sanluri,32,2,2,sezione dedicata,,"2 tavole, 2 pagine",
06/07,Cagliari 2006,San Sperate,34,2,2,sezione dedicata,,"2 tavole, 2 pagine",
06/07,Cagliari 2006,Sant'Antioco,36,1,1,sezione dedicata,,"1 tavola, 1 pagina",Nuovo comune cartografato
06/07,Cagliari 2006,Sarroch,37,1,1,sezione dedicata,,"1 tavola, 1 pagina",
06/07,Cagliari 2006,Selargius,39,3,3,sezione dedicata,,"3 tavole, 3 pagine",
06/07,Cagliari 2006,Senorbì,42,2,2,sezione dedicata,,"2 tavole, 2 pagine",
06/07,Cagliari 2006,Sestu,44,2,2,sezione dedicata,,"2 tavole, 2 pagine",
06/07,Cagliari 2006,Villacidro,46,2,2,sezione dedicata,,"2 tavole, 2 pagine",
07/08,Cagliari 2007,Cagliari,14,7,7,sezione dedicata,,"7 tavole, 7 pagine",
07/08,Cagliari 2007,Assemini,22,1,1,sezione dedicata,,"1 tavola, 1 pagina",
07/08,Cagliari 2007,Capoterra,23,1,1,sezione dedicata,,"1 tavola, 1 pagina",
07/08,Cagliari 2007,Carbonia,24,2,2,sezione dedicata,,"2 tavole, 2 pagine",
07/08,Cagliari 2007,Elmas,26,2,2,sezione dedicata,,"2 tavole, 2 pagine",
07/08,Cagliari 2007,Iglesias,28,2,2,sezione dedicata,,"2 tavole, 2 pagine",
07/08,Cagliari 2007,Monserrato,30,1,1,sezione dedicata,,"1 tavola, 1 pagina",
07/08,Cagliari 2007,Muravera,31,1,1,sezione dedicata,,"1 tavola, 1 pagina",
07/08,Cagliari 2007,Pula,33,1,1,sezione dedicata,,"1 tavola, 1 pagina",
07/08,Cagliari 2007,Quartu Sant'Elena,34,3,3,sezione dedicata,,"3 tavole, 3 pagine",
07/08,Cagliari 2007,Sanluri,38,2,2,sezione dedicata,,"2 tavole, 2 pagine",
07/08,Cagliari 2007,San Sperate,40,2,2,sezione dedicata,,"2 tavole, 2 pagine",
07/08,Cagliari 2007,Sant'Antioco,42,1,1,sezione dedicata,,"1 tavola, 1 pagina",
07/08,Cagliari 2007,Sarroch,43,1,1,sezione dedicata,,"1 tavola, 1 pagina",
07/08,Cagliari 2007,Selargius,45,3,3,sezione dedicata,,"3 tavole, 3 pagine",
07/08,Cagliari 2007,Senorbì,48,2,2,sezione dedicata,,"2 tavole, 2 pagine",
07/08,Cagliari 2007,Sestu,50,2,2,sezione dedicata,,"2 tavole, 2 pagine",
07/08,Cagliari 2007,Villacidro,52,2,2,sezione dedicata,,"2 tavole, 2 pagine",
08/09,Cagliari 2008/2009,Cagliari,8,7,7,sezione dedicata,,"7 tavole, 7 pagine",
08/09,Cagliari 2008/2009,Assemini,16,1,1,sezione dedicata,,"1 tavola, 1 pagina",
08/09,Cagliari 2008/2009,Capoterra,17,1,1,sezione dedicata,,"1 tavola, 1 pagina",
08/09,Cagliari 2008/2009,Carbonia,18,2,2,sezione dedicata,,"2 tavole, 2 pagine",
08/09,Cagliari 2008/2009,Elmas,20,2,2,sezione dedicata,,"2 tavole, 2 pagine",
08/09,Cagliari 2008/2009,Iglesias,22,2,2,sezione dedicata,,"2 tavole, 2 pagine",
08/09,Cagliari 2008/2009,Monserrato,24,1,1,sezione dedicata,,"1 tavola, 1 pagina",
08/09,Cagliari 2008/2009,Muravera,25,1,1,sezione dedicata,,"1 tavola, 1 pagina",
08/09,Cagliari 2008/2009,Pula,27,1,1,sezione dedicata,,"1 tavola, 1 pagina",
08/09,Cagliari 2008/2009,Quartu Sant'Elena,28,3,3,sezione dedicata,,"3 tavole, 3 pagine",
08/09,Cagliari 2008/2009,Sarroch,31,1,1,sezione dedicata,,"1 tavola, 1 pagina",
08/09,Cagliari 2008/2009,Sanluri,32,2,2,sezione dedicata,,"2 tavole, 2 pagine",
08/09,Cagliari 2008/2009,San Sperate,34,2,2,sezione dedicata,,"2 tavole, 2 pagine",
08/09,Cagliari 2008/2009,Sant'Antioco,36,1,1,sezione dedicata,,"1 tavola, 1 pagina",
08/09,Cagliari 2008/2009,Selargius,37,3,3,sezione dedicata,,"3 tavole, 3 pagine",
08/09,Cagliari 2008/2009,Senorbì,40,2,2,sezione dedicata,,"2 tavole, 2 pagine",
08/09,Cagliari 2008/2009,Sestu,42,2,2,sezione dedicata,,"2 tavole, 2 pagine",
08/09,Cagliari 2008/2009,Villacidro,44,2,2,sezione dedicata,,"2 tavole, 2 pagine",
09/10,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,Cagliari,4,7,7,sezione dedicata,,"7 tavole, 7 pagine",
09/10,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,Assemini,12,1,1,sezione dedicata,,"1 tavola, 1 pagina",
09/10,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,Capoterra,13,1,1,sezione dedicata,,"1 tavola, 1 pagina",
09/10,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,Carbonia,14,2,2,sezione dedicata,,"2 tavole, 2 pagine",
09/10,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,Elmas,16,2,2,sezione dedicata,,"2 tavole, 2 pagine",
09/10,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,Iglesias,18,2,2,sezione dedicata,,"2 tavole, 2 pagine",
09/10,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,Monserrato,20,1,1,sezione dedicata,,"1 tavola, 1 pagina",
09/10,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,Muravera,21,1,1,sezione dedicata,,"1 tavola, 1 pagina",
09/10,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,Pula,23,1,1,sezione dedicata,,"1 tavola, 1 pagina",
09/10,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,Quartu Sant'Elena,24,3,3,sezione dedicata,,"3 tavole, 3 pagine",
09/10,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,Sarroch,27,1,1,sezione dedicata,,"1 tavola, 1 pagina",
09/10,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,Sanluri,28,2,2,sezione dedicata,,"2 tavole, 2 pagine",
09/10,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,San Sperate,30,2,2,sezione dedicata,,"2 tavole, 2 pagine",
09/10,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,Sant'Antioco,32,1,1,sezione dedicata,,"1 tavola, 1 pagina",
09/10,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,Selargius,33,3,3,sezione dedicata,,"3 tavole, 3 pagine",
09/10,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,Senorbì,36,2,2,sezione dedicata,,"2 tavole, 2 pagine",
09/10,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,Sestu,38,2,2,sezione dedicata,,"2 tavole, 2 pagine",
09/10,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,Villacidro,40,2,2,sezione dedicata,,"2 tavole, 2 pagine",
10/11,Cagliari - Carbonia Iglesias - Medio Campidano 2010/2011,Cagliari,11,14,14,sezione dedicata,,"14 tavole, 14 pagine",Nuova cartografia rinnovata
10/11,Cagliari - Carbonia Iglesias - Medio Campidano 2010/2011,Carbonia,26,2,2,sezione dedicata,,"2 tavole, 2 pagine",Nuova cartografia rinnovata
10/11,Cagliari - Carbonia Iglesias - Medio Campidano 2010/2011,Iglesias,28,3,3,sezione dedicata,,"3 tavole, 3 pagine",Nuova cartografia rinnovata
10/11,Cagliari - Carbonia Iglesias - Medio Campidano 2010/2011,Sanluri,32,2,2,sezione dedicata,,"2 tavole, 2 pagine",Nuova cartografia rinnovata
10/11,Cagliari - Carbonia Iglesias - Medio Campidano 2010/2011,Villacidro,34,2,2,sezione dedicata,,"2 tavole, 2 pagine",Nuova cartografia rinnovata
10/11,Cagliari - Carbonia Iglesias - Medio Campidano 2010/2011,Selargius,36,4,4,sezione dedicata,,"4 tavole, 4 pagine",Nuova cartografia rinnovata
11/12,Cagliari - Carbonia Iglesias - Medio Campidano 2011/2012,Cagliari,11,14,14,sezione dedicata,,"14 tavole, 14 pagine",
11/12,Cagliari - Carbonia Iglesias - Medio Campidano 2011/2012,Elmas,27,1,1,sezione dedicata,,"1 tavola, 1 pagina",
11/12,Cagliari - Carbonia Iglesias - Medio Campidano 2011/2012,Quartu Sant'Elena,28,4,4,sezione dedicata,,"4 tavole, 4 pagine",
11/12,Cagliari - Carbonia Iglesias - Medio Campidano 2011/2012,Selargius,32,4,4,sezione dedicata,,"4 tavole, 4 pagine",
11/12,Cagliari - Carbonia Iglesias - Medio Campidano 2011/2012,Carbonia,36,2,2,sezione dedicata,,"2 tavole, 2 pagine",
11/12,Cagliari - Carbonia Iglesias - Medio Campidano 2011/2012,Iglesias,39,3,3,sezione dedicata,,"3 tavole, 3 pagine",
11/12,Cagliari - Carbonia Iglesias - Medio Campidano 2011/2012,Sanluri,42,2,2,sezione dedicata,,"2 tavole, 2 pagine",
11/12,Cagliari - Carbonia Iglesias - Medio Campidano 2011/2012,Villacidro,44,2,2,sezione dedicata,,"2 tavole, 2 pagine",
12/13,Cagliari - Carbonia Iglesias - Medio Campidano 2012/2013,Cagliari,5,14,14,sezione dedicata,,"14 tavole, 14 pagine",
12/13,Cagliari - Carbonia Iglesias - Medio Campidano 2012/2013,Elmas,19,1,1,sezione dedicata,,"1 tavola, 1 pagina",
12/13,Cagliari - Carbonia Iglesias - Medio Campidano 2012/2013,Muravera,20,1,1,sezione dedicata,,"1 tavola, 1 pagina",
12/13,Cagliari - Carbonia Iglesias - Medio Campidano 2012/2013,Pula,21,1,1,sezione dedicata,,"1 tavola, 1 pagina",
12/13,Cagliari - Carbonia Iglesias - Medio Campidano 2012/2013,Quartu Sant'Elena,22,4,4,sezione dedicata,,"4 tavole, 4 pagine",
12/13,Cagliari - Carbonia Iglesias - Medio Campidano 2012/2013,Sestu,26,2,2,sezione dedicata,,"2 tavole, 2 pagine",
12/13,Cagliari - Carbonia Iglesias - Medio Campidano 2012/2013,Carbonia,28,2,2,sezione dedicata,,"2 tavole, 2 pagine",
12/13,Cagliari - Carbonia Iglesias - Medio Campidano 2012/2013,Iglesias,31,3,3,sezione dedicata,,"3 tavole, 3 pagine",
12/13,Cagliari - Carbonia Iglesias - Medio Campidano 2012/2013,Sanluri,34,2,2,sezione dedicata,,"2 tavole, 2 pagine",
12/13,Cagliari - Carbonia Iglesias - Medio Campidano 2012/2013,Villacidro,36,2,2,sezione dedicata,,"2 tavole, 2 pagine",
13/14,Cagliari - Carbonia Iglesias - Medio Campidano 2013/2014,Cagliari,9,14,14,sezione dedicata,,"14 tavole, 14 pagine",
13/14,Cagliari - Carbonia Iglesias - Medio Campidano 2013/2014,Elmas,23,1,1,sezione dedicata,,"1 tavola, 1 pagina",
13/14,Cagliari - Carbonia Iglesias - Medio Campidano 2013/2014,Monserrato,24,2,2,sezione dedicata,,"2 tavole, 2 pagine",
13/14,Cagliari - Carbonia Iglesias - Medio Campidano 2013/2014,Muravera,26,1,1,sezione dedicata,,"1 tavola, 1 pagina",
13/14,Cagliari - Carbonia Iglesias - Medio Campidano 2013/2014,Pula,27,1,1,sezione dedicata,,"1 tavola, 1 pagina",
13/14,Cagliari - Carbonia Iglesias - Medio Campidano 2013/2014,Quartu Sant'Elena,28,4,4,sezione dedicata,,"4 tavole, 4 pagine",
13/14,Cagliari - Carbonia Iglesias - Medio Campidano 2013/2014,Sestu,32,2,2,sezione dedicata,,"2 tavole, 2 pagine",
13/14,Cagliari - Carbonia Iglesias - Medio Campidano 2013/2014,Selargius,34,4,4,sezione dedicata,,"4 tavole, 4 pagine",
13/14,Cagliari - Carbonia Iglesias - Medio Campidano 2013/2014,Iglesias,41,3,3,sezione dedicata,,"3 tavole, 3 pagine",
13/14,Cagliari - Carbonia Iglesias - Medio Campidano 2013/2014,Carbonia,44,2,2,sezione dedicata,,"2 tavole, 2 pagine",
13/14,Cagliari - Carbonia Iglesias - Medio Campidano 2013/2014,Sanluri,48,2,2,sezione dedicata,,"2 tavole, 2 pagine",
13/14,Cagliari - Carbonia Iglesias - Medio Campidano 2013/2014,Villacidro,50,2,2,sezione dedicata,,"2 tavole, 2 pagine",
14/15,Cagliari - Carbonia Iglesias - Medio Campidano 2014/2015,Cagliari,5,14,14,sezione dedicata,,"14 tavole, 14 pagine",
14/15,Cagliari - Carbonia Iglesias - Medio Campidano 2014/2015,Elmas,19,1,1,sezione dedicata,,"1 tavola, 1 pagina",
14/15,Cagliari - Carbonia Iglesias - Medio Campidano 2014/2015,Monserrato,20,2,2,sezione dedicata,,"2 tavole, 2 pagine",
14/15,Cagliari - Carbonia Iglesias - Medio Campidano 2014/2015,Muravera,22,1,1,sezione dedicata,,"1 tavola, 1 pagina",
14/15,Cagliari - Carbonia Iglesias - Medio Campidano 2014/2015,Pula,23,1,1,sezione dedicata,,"1 tavola, 1 pagina",
