annata,fascicolo,citta,pagina,tavole,pagine_tavola,elenco_vie,illustrazioni,nota,cambiamenti
85/86,Nuoro - Sassari 85,Nuoro,8,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
85/86,Nuoro - Sassari 85,Sassari,21,3,3,sezione dedicata,,"3 tavole, 3 pagine",
85/86,Nuoro - Sassari 85,Alghero,26,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
85/86,Nuoro - Sassari 85,Olbia,28,1,2,margini,,"1 tavola, 2 pagine; elenco delle vie ai margini",
85/86,Nuoro - Sassari 85,Porto Torres,30,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
86/87,Cagliari - Oristano 86,Cagliari,16,7,7,sezione dedicata,,"7 tavole, 7 pagine",
86/87,Cagliari - Oristano 86,Carbonia,26,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
86/87,Cagliari - Oristano 86,Iglesias,28,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
86/87,Cagliari - Oristano 86,Quartu Sant'Elena,30,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
86/87,Cagliari - Oristano 86,Oristano,38,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
86/87,Nuoro - Sassari 86,Nuoro,8,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",Aggiornamenti nella cartografia
86/87,Nuoro - Sassari 86,Sassari,21,3,3,sezione dedicata,,"3 tavole, 3 pagine",
86/87,Nuoro - Sassari 86,Alghero,26,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
86/87,Nuoro - Sassari 86,Olbia,28,1,2,margini,,"1 tavola, 2 pagine; elenco delle vie ai margini",
86/87,Nuoro - Sassari 86,Porto Torres,30,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
87/88,Cagliari - Oristano 87,Cagliari,16,7,7,sezione dedicata,,"7 tavole, 7 pagine",
87/88,Cagliari - Oristano 87,Carbonia,26,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
87/88,Cagliari - Oristano 87,Iglesias,28,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
87/88,Cagliari - Oristano 87,Quartu Sant'Elena,30,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",Nuova cartografia rinnovata
87/88,Cagliari - Oristano 87,Oristano,38,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",Aggiornamenti nella cartografia
87/88,Nuoro - Sassari 87,Nuoro,8,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",Nuova cartografia rinnovata
87/88,Nuoro - Sassari 87,Sassari,21,3,3,sezione dedicata,,"3 tavole, 3 pagine",
87/88,Nuoro - Sassari 87,Alghero,26,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
87/88,Nuoro - Sassari 87,Olbia,28,1,2,margini,,"1 tavola, 2 pagine; elenco delle vie ai margini",
87/88,Nuoro - Sassari 87,Porto Torres,30,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
88/89,Cagliari - Oristano 88,Cagliari,16,7,7,sezione dedicata,,"7 tavole, 7 pagine",
88/89,Cagliari - Oristano 88,Carbonia,26,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
88/89,Cagliari - Oristano 88,Iglesias,28,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
88/89,Cagliari - Oristano 88,Quartu Sant'Elena,30,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
88/89,Cagliari - Oristano 88,Oristano,38,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
88/89,Nuoro - Sassari 88,Nuoro,6,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",Aggiornamenti nella cartografia
88/89,Nuoro - Sassari 88,Sassari,19,3,3,sezione dedicata,,"3 tavole, 3 pagine",
88/89,Nuoro - Sassari 88,Alghero,26,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
88/89,Nuoro - Sassari 88,Olbia,28,1,2,margini,,"1 tavola, 2 pagine; elenco delle vie ai margini",
88/89,Nuoro - Sassari 88,Porto Torres,30,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
89/90,Cagliari - Oristano 89,Cagliari,16,7,7,sezione dedicata,,"7 tavole, 7 pagine",
89/90,Cagliari - Oristano 89,Carbonia,26,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
89/90,Cagliari - Oristano 89,Iglesias,28,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
89/90,Cagliari - Oristano 89,Quartu Sant'Elena,30,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",Nuova cartografia rinnovata
89/90,Cagliari - Oristano 89,Oristano,38,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",Aggiornamenti nella cartografia
89/90,Nuoro - Sassari 89,Nuoro,6,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
89/90,Nuoro - Sassari 89,Sassari,21,3,3,sezione dedicata,,"3 tavole, 3 pagine",
89/90,Nuoro - Sassari 89,Alghero,26,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
89/90,Nuoro - Sassari 89,Olbia,28,1,2,margini,,"1 tavola, 2 pagine; elenco delle vie ai margini",
89/90,Nuoro - Sassari 89,Porto Torres,30,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
90/91,Cagliari - Oristano 90/91,Cagliari,18,7,7,sezione dedicata,,"7 tavole, 7 pagine",Aumento della superficie cartografata; nuovo assortimento delle tavole
90/91,Cagliari - Oristano 90/91,Guspini,25,1,1,sezione dedicata,,"1 tavola, 1 pagina",Nuovo comune cartografato
