annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,pagine_comprese_copertine,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
89/90,Frosinone,Frosinone 90,90,Copertina 90 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,16,,novembre 1989,,FR90.jpg,True,accertata
89/90,Latina,Latina 90,90,Copertina 90 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,16,,novembre 1989,,LT90.jpg,True,accertata
89/90,Rieti - Viterbo,Rieti - Viterbo 90,90,Copertina 90 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,24,,novembre 1989,,RIVT90.jpg,True,accertata
90/91,Roma,Roma 91,91,Copertina 1991 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,216,,agosto 1990,nota dell'editore,Roma9091.jpg,True,accertata
90/91,Provincia di Roma,Provincia di Roma 91,91,Copertina 1991 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,40,,agosto 1990,nota dell'editore,PROVROMA91.jpg,True,accertata
90/91,Frosinone,Frosinone 91,91,Copertina 1991 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,,novembre 1990,nota dell'editore,FR91.jpg,True,accertata
90/91,Latina,Latina 91,91,Copertina 1991 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,,novembre 1990,nota dell'editore,LT91.jpg,True,accertata
90/91,Rieti - Viterbo,Rieti - Viterbo 91,91,Copertina 1991 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,,dicembre 1990,nota dell'editore,RIVT91.jpg,True,accertata
91/92,Roma,Roma 92,92,Copertina 92 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,208,,agosto 1991,,Roma9192.jpg,True,accertata
91/92,Provincia di Roma,Provincia di Roma 92,92,Copertina 92 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,40,,settembre 1991,,PROVROMA92.jpg,True,accertata
91/92,Frosinone,Frosinone 92,92,Copertina 92 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,,novembre 1991,,FR92.jpg,True,accertata
91/92,Latina,Latina 92,92,Copertina 92 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,32,,novembre 1991,,LT92.jpg,True,accertata
91/92,Rieti - Viterbo,Rieti - Viterbo 92,92,Copertina 92 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,32,,novembre 1991,,RIVT92.jpg,True,accertata
92/93,Roma,Roma e dintorni 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,208,,agosto 1992,,Roma9293.jpg,True,accertata
92/93,Provincia di Roma,Provincia di Roma 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,40,,settembre 1992,,PROVROMA93.jpg,True,accertata
92/93,Frosinone,Frosinone 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,24,,ottobre 1992,,FR93.jpg,True,accertata
92/93,Latina,Latina 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,24,,ottobre 1992,,LT93.jpg,True,accertata
92/93,Rieti - Viterbo,Rieti - Viterbo 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,32,,ottobre 1992,,RIVT93.jpg,True,accertata
93/94,Roma,Roma e dintorni 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,198,,settembre 1993,,Roma9394.jpg,True,accertata
93/94,Provincia di Roma,Provincia di Roma 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,38,,settembre 1993,,PROVROMA94.jpg,True,accertata
93/94,Frosinone,Frosinone 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,,novembre 1993,,FR94.jpg,True,accertata
93/94,Latina,Latina 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,,novembre 1993,,LT94.jpg,True,accertata
93/94,Rieti - Viterbo,Rieti - Viterbo 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,,ottobre 1993,,RIVT94.jpg,True,accertata
94/95,Roma,Roma e dintorni 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,198,,agosto 1994,,Roma9495.jpg,True,accertata
94/95,Provincia di Roma,Provincia di Roma 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,38,,settembre 1994,,PROVROMA95.jpg,True,accertata
94/95,Frosinone,Frosinone 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,,Ricercato1.jpg,False,accertata
94/95,Latina,Latina 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,,,,Ricercato1.jpg,False,accertata
94/95,Rieti - Viterbo,Rieti - Viterbo 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,,Ricercato1.jpg,False,accertata
95/96,Roma,Roma e dintorni 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,198,,luglio 1995,,Roma9596.jpg,True,accertata
95/96,Provincia di Roma,Provincia di Roma 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,38,,settembre 1995,,PROVROMA96.jpg,True,accertata
95/96,Frosinone,Frosinone 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,,Ricercato1.jpg,False,accertata
95/96,Latina,Latina 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,,Ricercato1.jpg,False,accertata
95/96,Rieti - Viterbo,Rieti - Viterbo 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,,Ricercato1.jpg,False,accertata
96/97,Roma,Roma e dintorni 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,198,,agosto 1996,Cambio formato,Roma9697.jpg,True,accertata
96/97,Provincia di Roma,Provincia di Roma 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,,,,Cambio formato,Ricercato1.jpg,False,accertata
