foglio,fascicolo,denominazione,anno_copertina,annata,nome_censimento,linea,pagine_totali,layout,dimensioni,copertina,sfondo_cartografia,colore,copertina_immagine,nome_in_copertina,mese_aggiornamento,note
NU SS 93,Nuoro - Sassari 93,Nuoro - Sassari,93,93/94,Nuoro - Sassari,Nuoro - Sassari,48,TuttoCittà '90 classico,246 x 280 mm,Grossa,Grigio,#DDD9C3,NUSS93.jpg,Nuoro - Sassari 93,aprile 1993,
CA OR 94,Cagliari - Oristano 94,Cagliari - Oristano,94,94/95,Cagliari - Oristano,Cagliari,62,TuttoCittà '90 classico,246 x 280 mm,Sottile,Grigio,#C4BC96,CAOR94.jpg,Cagliari - Oristano 94,aprile 1994,
NU SS 94,Nuoro - Sassari 94,Nuoro - Sassari,94,94/95,Nuoro - Sassari,Nuoro - Sassari,46,TuttoCittà '90 classico,246 x 280 mm,Sottile,Grigio,#C4BC96,NUSS94.jpg,Nuoro - Sassari 94,aprile 1994,
CA OR 95,Cagliari - Oristano 95,Cagliari - Oristano,95,95/96,Cagliari - Oristano,Cagliari,62,TuttoCittà '90 classico,246 x 280 mm,Sottile,Grigio,#C4BC96,CAOR95.jpg,Cagliari - Oristano 95,aprile 1995,
NU SS 95,Nuoro - Sassari 95,Nuoro - Sassari,95,95/96,Nuoro - Sassari,Nuoro - Sassari,46,TuttoCittà '90 classico,246 x 280 mm,Sottile,Grigio,#C4BC96,NUSS95.jpg,Nuoro - Sassari 95,aprile 1995,
CA OR 96,Cagliari - Oristano 96,Cagliari - Oristano,96,96/97,Cagliari - Oristano,Cagliari,62,TuttoCittà '90 classico,246 x 280 mm,Sottile,Grigio,#C4BC96,CAOR96.jpg,Cagliari - Oristano 96,aprile 1996,
NU SS 96,Nuoro - Sassari 96,Nuoro - Sassari,96,96/97,Nuoro - Sassari,Nuoro - Sassari,46,TuttoCittà '90 classico,246 x 280 mm,Sottile,Grigio,#C4BC96,NUSS96.jpg,Nuoro - Sassari 96,aprile 1996,
CA OR 97,Cagliari - Oristano 97,Cagliari - Oristano,97,97/98,Cagliari - Oristano,Cagliari,54,TuttoCittà '90 classico,226 x 274 mm,Sottile,Grigio,#C4BC96,CAOR97.jpg,Cagliari - Oristano 97,aprile 1997,Cambio formato
NU SS 97,Nuoro - Sassari 97,Nuoro - Sassari,97,97/98,Nuoro - Sassari,Nuoro - Sassari,39,TuttoCittà '90 classico,226 x 274 mm,Sottile,Grigio,#C4BC96,NUSS97.jpg,Nuoro - Sassari 97,aprile 1997,Cambio formato
CA 98,Cagliari 98,Cagliari,98,98/99,Cagliari (Cagliari - Carbonia Iglesias - Medio Campidano dal 2009),Cagliari,46,TuttoCittà '90 riformato,226 x 274 mm,Sottile,Grigio,#999999,CA98.jpg,Cagliari (98),aprile 1998,"""da utilizzare fino a Luglio 1999"""
CA 99,Cagliari 1999/2000,Cagliari,99/00,99/00,Cagliari (Cagliari - Carbonia Iglesias - Medio Campidano dal 2009),Cagliari,54,TuttoCittà nuovo millennio,226 x 274 mm,Sottile,Grigio,#FFD966,CA99.jpg,Cagliari 1999/2000,aprile 1999,
CA 00,Cagliari 2000/2001,Cagliari,00/01,00/01,Cagliari (Cagliari - Carbonia Iglesias - Medio Campidano dal 2009),Cagliari,68,TuttoCittà nuovo millennio bis,226 x 274 mm,Sottile,Grigio,#FFD966,CA00.jpg,Cagliari 2000/2001,aprile 2000,
