annata,fascicolo,provincia,citta,indicizzata
92/93,Catanzaro,Catanzaro,Lamezia Terme-Nicastro,sì
92/93,Catanzaro,Catanzaro,Soverato,sì
92/93,Catanzaro,Catanzaro,Vibo Valentia,sì
92/93,Cosenza,Cosenza,Cosenza,sì
92/93,Cosenza,Cosenza,Amantea,sì
92/93,Cosenza,Cosenza,Castrovillari,sì
92/93,Cosenza,Cosenza,Rende,sì
92/93,Cosenza,Cosenza,Rossano,sì
92/93,Cosenza,Cosenza,Scalea,sì
92/93,Reggio Calabria,Reggio Calabria,Reggio Calabria,sì
92/93,Reggio Calabria,Reggio Calabria,Gioia Tauro,sì
92/93,Reggio Calabria,Reggio Calabria,Palmi,sì
92/93,Reggio Calabria,Reggio Calabria,Polistena,sì
92/93,Reggio Calabria,Reggio Calabria,Siderno,sì
93/94,Catanzaro,Catanzaro,Catanzaro,sì
93/94,Catanzaro,Catanzaro,Crotone,sì
93/94,Catanzaro,Catanzaro,Lamezia Terme-Nicastro,sì
93/94,Catanzaro,Catanzaro,Soverato,sì
93/94,Catanzaro,Catanzaro,Vibo Valentia,sì
93/94,Cosenza,Cosenza,Cosenza,sì
93/94,Cosenza,Cosenza,Amantea,sì
93/94,Cosenza,Cosenza,Castrovillari,sì
93/94,Cosenza,Cosenza,Rende,sì
93/94,Cosenza,Cosenza,Rossano,sì
93/94,Cosenza,Cosenza,Scalea,sì
93/94,Reggio Calabria,Reggio Calabria,Reggio Calabria,sì
93/94,Reggio Calabria,Reggio Calabria,Gioia Tauro,sì
93/94,Reggio Calabria,Reggio Calabria,Palmi,sì
93/94,Reggio Calabria,Reggio Calabria,Polistena,sì
93/94,Reggio Calabria,Reggio Calabria,Siderno,sì
94/95,Catanzaro,Catanzaro,Catanzaro,sì
94/95,Catanzaro,Catanzaro,Crotone,sì
94/95,Catanzaro,Catanzaro,Lamezia Terme-Nicastro,sì
94/95,Catanzaro,Catanzaro,Soverato,sì
94/95,Catanzaro,Catanzaro,Vibo Valentia,sì
97/98,Catanzaro - Crotone - Vibo Valentia,Catanzaro,Catanzaro,sì
97/98,Catanzaro - Crotone - Vibo Valentia,Catanzaro,Lamezia Terme-Nicastro,sì
97/98,Catanzaro - Crotone - Vibo Valentia,Catanzaro,Soverato,sì
97/98,Catanzaro - Crotone - Vibo Valentia,Catanzaro,Crotone,sì
97/98,Catanzaro - Crotone - Vibo Valentia,Catanzaro,Vibo Valentia,sì
97/98,Cosenza,Cosenza,Cosenza,sì
97/98,Cosenza,Cosenza,Amantea,sì
97/98,Cosenza,Cosenza,Castrovillari,sì
97/98,Cosenza,Cosenza,Rende,sì
97/98,Cosenza,Cosenza,Rossano,sì
97/98,Cosenza,Cosenza,Scalea,sì
98/99,Catanzaro - Crotone - Vibo Valentia,Catanzaro,Catanzaro,sì
98/99,Catanzaro - Crotone - Vibo Valentia,Catanzaro,Lamezia Terme-Nicastro,sì
98/99,Catanzaro - Crotone - Vibo Valentia,Catanzaro,Soverato,sì
98/99,Catanzaro - Crotone - Vibo Valentia,Catanzaro,Crotone,sì
98/99,Catanzaro - Crotone - Vibo Valentia,Catanzaro,Vibo Valentia,sì
